"","ANO_ELEICAO","UF","COD_MUN_TSE","NOME_MUNICIPIO","CARGO","VAGAS"
"99","2000","AL","28410","PIRANHAS","VEREADOR","11"
"100","2000","AL","28436","POCO DAS TRINCHEIRAS","VEREADOR","9"
"101","2000","AL","28452","PORTO CALVO","VEREADOR","11"
"102","2000","AL","28479","PORTO DE PEDRAS","VEREADOR","9"
"103","2000","AL","28495","PORTO REAL DO COLEGIO","VEREADOR","11"
"104","2000","AL","28517","QUEBRANGULO","VEREADOR","9"
"105","2000","AL","28533","RIO LARGO","VEREADOR","17"
"106","2000","AL","28550","ROTEIRO","VEREADOR","9"
"107","2000","AL","28576","SANTA LUZIA DO NORTE","VEREADOR","9"
"108","2000","AL","28592","SANTANA DO IPANEMA","VEREADOR","10"
"109","2000","AL","28614","SANTANA DO MUNDAU","VEREADOR","9"
"110","2000","AL","28630","SAO BRAS","VEREADOR","9"
"111","2000","AL","28657","SAO JOSE DA LAJE","VEREADOR","10"
"112","2000","AL","28673","SAO JOSE DA TAPERA","VEREADOR","9"
"113","2000","AL","28690","SAO LUIS DO QUITUNDE","VEREADOR","11"
"114","2000","AL","28711","SAO MIGUEL DOS CAMPOS","VEREADOR","15"
"115","2000","AL","28738","SAO MIGUEL DOS MILAGRES","VEREADOR","9"
"116","2000","AL","28754","SAO SEBASTIAO","VEREADOR","11"
"117","2000","AL","28770","SATUBA","VEREADOR","9"
"118","2000","AL","28916","SENADOR RUI PALMEIRA","VEREADOR","9"
"119","2000","AL","28932","SENADOR TEOTONIO VILELA","VEREADOR","10"
"120","2000","AL","28797","TANQUE D ARCA","VEREADOR","9"
"121","2000","AL","28819","TAQUARANA","VEREADOR","9"
"122","2000","AL","28835","TRAIPU","VEREADOR","9"
"123","2000","AL","28851","UNIAO DOS PALMARES","VEREADOR","13"
"124","2000","AL","28878","VICOSA","VEREADOR","10"
"125","2000","AM","2895","ALVARAES","VEREADOR","9"
"126","2000","AM","2917","AMATURA","VEREADOR","9"
"127","2000","AM","2933","ANAMA","VEREADOR","11"
"128","2000","AM","2038","ANORI","VEREADOR","9"
"129","2000","AM","2003","APUI","VEREADOR","9"
"130","2000","AM","2054","ATALAIA DO NORTE","VEREADOR","9"
"131","2000","AM","2070","AUTAZES","VEREADOR","9"
"132","2000","AM","2097","BARCELOS","VEREADOR","9"
"133","2000","AM","2119","BARREIRINHA","VEREADOR","9"
"134","2000","AM","2135","BENJAMIN CONSTANT","VEREADOR","13"
"135","2000","AM","2950","BERURI","VEREADOR","9"
"136","2000","AM","2976","BOA VISTA DE RAMOS","VEREADOR","9"
"137","2000","AM","2151","BOCA DO ACRE","VEREADOR","9"
"138","2000","AM","2178","BORBA","VEREADOR","9"
"139","2000","AM","2992","CAAPIRANGA","VEREADOR","9"
"140","2000","AM","2194","CANUTAMA","VEREADOR","9"
"141","2000","AM","2216","CARAUARI","VEREADOR","9"
"142","2000","AM","2232","CAREIRO","VEREADOR","9"
"143","2000","AM","2046","CAREIRO DA VARZEA","VEREADOR","9"
"144","2000","AM","2259","COARI","VEREADOR","11"
"145","2000","AM","2275","CODAJAS","VEREADOR","9"
"146","2000","AM","2291","EIRUNEPE","VEREADOR","11"
"147","2000","AM","2313","ENVIRA","VEREADOR","9"
"148","2000","AM","2330","FONTE BOA","VEREADOR","9"
"149","2000","AM","2020","GUAJARA","VEREADOR","9"
"150","2000","AM","2356","HUMAITA","VEREADOR","11"
"151","2000","AM","2399","IPIXUNA","VEREADOR","9"
"152","2000","AM","98353","IRANDUBA","VEREADOR","11"
"153","2000","AM","2410","ITACOATIARA","VEREADOR","15"
"154","2000","AM","98370","ITAMARATI","VEREADOR","9"
"155","2000","AM","2437","ITAPIRANGA","VEREADOR","9"
"156","2000","AM","2453","JAPURA","VEREADOR","9"
"157","2000","AM","2470","JURUA","VEREADOR","9"
"158","2000","AM","2496","JUTAI","VEREADOR","9"
"159","2000","AM","2518","LABREA","VEREADOR","11"
"160","2000","AM","2534","MANACAPURU","VEREADOR","13"
"161","2000","AM","98396","MANAQUIRI","VEREADOR","9"
"162","2000","AM","2550","MANAUS","VEREADOR","33"
"163","2000","AM","2577","MANICORE","VEREADOR","11"
"164","2000","AM","2593","MARAA","VEREADOR","9"
"165","2000","AM","2615","MAUES","VEREADOR","13"
"166","2000","AM","2631","NHAMUNDA","VEREADOR","9"
"167","2000","AM","2658","NOVA OLINDA DO NORTE","VEREADOR","9"
"168","2000","AM","2674","NOVO ARIPUANA","VEREADOR","9"
"169","2000","AM","2011","NOVO AYRAO","VEREADOR","9"
"170","2000","AM","2690","PARINTINS","VEREADOR","13"
"171","2000","AM","2712","PAUINI","VEREADOR","9"
"172","2000","AM","98418","PRESIDENTE FIGUEIREDO","VEREADOR","9"
"173","2000","AM","98434","RIO PRETO DA EVA","VEREADOR","9"
"174","2000","AM","2372","SANTA ISABEL DO RIO NEGRO","VEREADOR","9"
"175","2000","AM","2739","SANTO ANTONIO DO ICA","VEREADOR","11"
"176","2000","AM","2836","SAO GABRIEL DA CACHOEIRA","VEREADOR","9"
"177","2000","AM","2755","SAO PAULO DE OLIVENCA","VEREADOR","9"
"178","2000","AM","98450","SAO SEBASTIAO DO UATUMA","VEREADOR","9"
"179","2000","AM","2771","SILVES","VEREADOR","9"
"180","2000","AM","98477","TABATINGA","VEREADOR","13"
"181","2000","AM","2798","TAPAUA","VEREADOR","9"
"182","2000","AM","2810","TEFE","VEREADOR","15"
"183","2000","AM","98515","TONANTINS","VEREADOR","9"
"184","2000","AM","98493","UARINI","VEREADOR","9"
"185","2000","AM","2852","URUCARA","VEREADOR","9"
"186","2000","AM","2879","URUCURITUBA","VEREADOR","9"
"187","2000","AP","6017","AMAPA","VEREADOR","9"
"188","2000","AP","6084","AMAPARI","VEREADOR","9"
"189","2000","AP","6033","CALCOENE","VEREADOR","9"
"190","2000","AP","6068","CUTIAS","VEREADOR","9"
"191","2000","AP","6114","FERREIRA GOMES","VEREADOR","9"
"192","2000","AP","6041","ITAUBAL","VEREADOR","9"
"193","2000","AP","6130","LARANJAL DO JARI","VEREADOR","13"
"194","2000","AP","6050","MACAPA","VEREADOR","17"
"195","2000","AP","6076","MAZAGAO","VEREADOR","9"
"196","2000","AP","6092","OIAPOQUE","VEREADOR","11"
