"","Ano da eleição","UF","Código do município","Nome do município","Cargo","Volatilidade eleitoral","Volatilidade parlamentar"
"83",2004,"AL","27219","Branquinha","Vereador"," 4,73"," 4,72"
"84",2004,"AL","27235","Cacimbinhas","Vereador"," 4,50"," 4,50"
"85",2004,"AL","27251","Cajueiro","Vereador"," 6,00"," 6,00"
"86",2004,"AL","27278","Campo Alegre","Vereador"," 7,50"," 7,50"
"87",2004,"AL","27294","Campo Grande","Vereador"," 6,03"," 6,06"
"88",2004,"AL","27316","Canapi","Vereador"," 3,61"," 3,61"
"89",2004,"AL","27332","Capela","Vereador"," 6,26"," 6,33"
"90",2004,"AL","27359","Carneiros","Vereador"," 4,21"," 4,28"
"91",2004,"AL","27375","Cha Preta","Vereador"," 4,98"," 5,00"
"92",2004,"AL","27391","Coite Do Noia","Vereador"," 3,00"," 3,00"
"93",2004,"AL","27413","Colonia Leopoldina","Vereador"," 6,32"," 6,33"
"94",2004,"AL","27430","Coqueiro Seco","Vereador"," 5,14"," 5,11"
"95",2004,"AL","27456","Coruripe","Vereador"," 6,03"," 6,04"
"96",2004,"AL","27472","Delmiro Gouveia","Vereador"," 6,68"," 6,65"
"97",2004,"AL","27499","Dois Riachos","Vereador"," 4,17"," 4,17"
"98",2004,"AL","27510","Feira Grande","Vereador"," 8,06"," 8,11"
"99",2004,"AL","27537","Feliz Deserto","Vereador"," 5,10"," 5,06"
"100",2004,"AL","27553","Flexeiras","Vereador"," 5,67"," 5,67"
"101",2004,"AL","27570","Girau Do Ponciano","Vereador"," 7,66"," 7,65"
"102",2004,"AL","27596","Ibateguara","Vereador"," 8,05"," 8,06"
"103",2004,"AL","27618","Igaci","Vereador"," 5,98"," 5,95"
"104",2004,"AL","27634","Igreja Nova","Vereador"," 3,73"," 3,72"
"105",2004,"AL","27650","Inhapi","Vereador"," 4,31"," 4,28"
"106",2004,"AL","27677","Jacare Dos Homens","Vereador"," 4,00"," 4,00"
"107",2004,"AL","27693","Jacuipe","Vereador"," 5,54"," 5,56"
"108",2004,"AL","27715","Japaratinga","Vereador"," 7,35"," 7,39"
"109",2004,"AL","27731","Jaramataia","Vereador"," 6,05"," 6,06"
"110",2004,"AL","27758","Joaquim Gomes","Vereador"," 7,84"," 7,78"
"111",2004,"AL","27774","Jundia","Vereador"," 6,29"," 6,28"
"112",2004,"AL","27790","Junqueiro","Vereador"," 4,20"," 4,25"
"113",2004,"AL","27812","Lagoa Da Canoa","Vereador"," 4,77"," 4,78"
"114",2004,"AL","27839","Limoeiro De Anadia","Vereador"," 3,50"," 3,50"
"115",2004,"AL","27855","Maceio","Vereador","12,50","12,50"
"116",2004,"AL","27871","Major Isidoro","Vereador"," 9,30"," 9,28"
"117",2004,"AL","27898","Maragogi","Vereador"," 6,67"," 6,67"
"118",2004,"AL","27910","Maravilha","Vereador"," 4,33"," 4,33"
"119",2004,"AL","27936","Marechal Deodoro","Vereador","10,18","10,18"
"120",2004,"AL","27952","Maribondo","Vereador","10,70","10,67"
"121",2004,"AL","27979","Mar Vermelho","Vereador"," 5,81"," 5,83"
"122",2004,"AL","27995","Mata Grande","Vereador"," 4,33"," 4,28"
"123",2004,"AL","28010","Matriz De Camaragibe","Vereador"," 9,00"," 9,00"
"124",2004,"AL","28037","Messias","Vereador"," 5,53"," 5,50"
"125",2004,"AL","28053","Minador Do Negrao","Vereador"," 2,54"," 2,50"
"126",2004,"AL","28070","Monteiropolis","Vereador"," 5,47"," 5,50"
"127",2004,"AL","28096","Murici","Vereador"," 7,82"," 7,82"
"128",2004,"AL","28118","Novo Lino","Vereador"," 8,50"," 8,50"
"129",2004,"AL","28134","Olho D Agua Das Flores","Vereador"," 6,60"," 6,61"
"130",2004,"AL","28150","Olho D Agua Do Casado","Vereador"," 4,00"," 4,00"
"131",2004,"AL","28177","Olho D Agua Grande","Vereador"," 3,37"," 3,33"
"132",2004,"AL","28193","Olivenca","Vereador"," 6,23"," 6,28"
"133",2004,"AL","28215","Ouro Branco","Vereador"," 7,09"," 7,17"
"134",2004,"AL","28231","Palestina","Vereador"," 4,68"," 4,67"
"135",2004,"AL","28258","Palmeira Dos Indios","Vereador","11,69","11,73"
"136",2004,"AL","28274","Pao De Acucar","Vereador"," 7,04"," 7,00"
"137",2004,"AL","28290","Passo De Camaragibe","Vereador"," 8,36"," 8,39"
"138",2004,"AL","28312","Paulo Jacinto","Vereador"," 8,40"," 8,33"
"139",2004,"AL","28339","Penedo","Vereador"," 8,61"," 8,58"
"140",2004,"AL","28355","Piacabucu","Vereador"," 8,29"," 8,28"
"141",2004,"AL","28371","Pilar","Vereador"," 5,68"," 5,71"
"142",2004,"AL","28398","Pindoba","Vereador"," 4,03"," 4,00"
"143",2004,"AL","28410","Piranhas","Vereador"," 5,49"," 5,50"
"144",2004,"AL","28436","Poco Das Trincheiras","Vereador"," 4,00"," 4,00"
"145",2004,"AL","28452","Porto Calvo","Vereador"," 9,46"," 9,50"
"146",2004,"AL","28479","Porto De Pedras","Vereador"," 7,83"," 7,89"
"147",2004,"AL","28495","Porto Real Do Colegio","Vereador"," 6,00"," 6,00"
"148",2004,"AL","28517","Quebrangulo","Vereador"," 4,59"," 4,56"
"149",2004,"AL","28533","Rio Largo","Vereador","11,00","11,00"
"150",2004,"AL","28550","Roteiro","Vereador"," 4,98"," 5,00"
"151",2004,"AL","28576","Santa Luzia Do Norte","Vereador"," 5,59"," 5,61"
"152",2004,"AL","28592","Santana Do Ipanema","Vereador","11,06","11,00"
"153",2004,"AL","28614","Santana Do Mundau","Vereador"," 7,34"," 7,33"
"154",2004,"AL","28630","Sao Bras","Vereador"," 4,07"," 4,06"
"155",2004,"AL","28657","Sao Jose Da Laje","Vereador"," 6,40"," 6,45"
"156",2004,"AL","28673","Sao Jose Da Tapera","Vereador"," 6,88"," 6,83"
"157",2004,"AL","28690","Sao Luis Do Quitunde","Vereador","10,50","10,50"
"158",2004,"AL","28711","Sao Miguel Dos Campos","Vereador"," 8,97"," 8,94"
"159",2004,"AL","28738","Sao Miguel Dos Milagres","Vereador"," 6,04"," 6,06"
"160",2004,"AL","28754","Sao Sebastiao","Vereador"," 5,64"," 5,64"
"161",2004,"AL","28770","Satuba","Vereador"," 8,47"," 8,50"
"162",2004,"AL","28797","Tanque D Arca","Vereador"," 4,93"," 4,94"
"163",2004,"AL","28819","Taquarana","Vereador"," 5,27"," 5,22"
"164",2004,"AL","28835","Traipu","Vereador"," 6,64"," 6,61"
"165",2004,"AL","28851","Uniao Dos Palmares","Vereador","11,59","11,62"
"166",2004,"AL","28878","Vicosa","Vereador"," 7,50"," 7,50"
"167",2004,"AL","28894","Craibas","Vereador"," 8,42"," 8,44"
"168",2004,"AL","28916","Senador Rui Palmeira","Vereador"," 3,17"," 3,17"
"169",2004,"AL","28932","Senador Teotonio Vilela","Vereador"," 7,25"," 7,20"
"170",2008,"AL","27006","Paripueira","Vereador"," 9,81","10,44"
"171",2008,"AL","27014","Agua Branca","Vereador"," 8,99"," 9,50"
"172",2008,"AL","27022","Pariconha","Vereador"," 3,50"," 4,00"
"173",2008,"AL","27030","Anadia","Vereador"," 7,65"," 8,11"
"174",2008,"AL","27049","Estrela De Alagoas","Vereador"," 5,38"," 6,17"
"175",2008,"AL","27057","Arapiraca","Vereador"," 8,08"," 8,73"
"176",2008,"AL","27065","Jequia Da Praia","Vereador","10,06","10,56"
"177",2008,"AL","27073","Atalaia","Vereador"," 8,81"," 9,45"
"178",2008,"AL","27081","Campestre","Vereador"," 5,50"," 6,28"
"179",2008,"AL","27090","Barra De Santo Antonio","Vereador"," 8,96"," 9,50"
"180",2008,"AL","27111","Barra De Sao Miguel","Vereador"," 6,87"," 7,50"
"181",2008,"AL","27138","Batalha","Vereador"," 6,98"," 7,50"
"182",2008,"AL","27154","Belem","Vereador"," 3,25"," 3,72"
"183",2008,"AL","27170","Belo Monte","Vereador"," 4,00"," 4,50"
"184",2008,"AL","27197","Boca Da Mata","Vereador"," 5,14"," 5,83"
"185",2008,"AL","27219","Branquinha","Vereador"," 3,50"," 4,00"
"186",2008,"AL","27235","Cacimbinhas","Vereador"," 4,01"," 4,50"
"187",2008,"AL","27251","Cajueiro","Vereador"," 5,36"," 5,94"
"188",2008,"AL","27278","Campo Alegre","Vereador"," 6,50"," 7,00"
"189",2008,"AL","27294","Campo Grande","Vereador"," 5,00"," 5,50"
"190",2008,"AL","27316","Canapi","Vereador"," 6,36"," 6,83"
"191",2008,"AL","27332","Capela","Vereador"," 6,24"," 6,67"
"192",2008,"AL","27359","Carneiros","Vereador"," 3,50"," 4,00"
"193",2008,"AL","27375","Cha Preta","Vereador"," 3,91"," 4,44"
"194",2008,"AL","27391","Coite Do Noia","Vereador"," 2,50"," 3,00"
"195",2008,"AL","27413","Colonia Leopoldina","Vereador"," 6,72"," 7,22"
"196",2008,"AL","27430","Coqueiro Seco","Vereador"," 7,33"," 7,83"
"197",2008,"AL","27456","Coruripe","Vereador"," 4,91"," 5,70"
"198",2008,"AL","27472","Delmiro Gouveia","Vereador"," 9,31"," 9,83"
"199",2008,"AL","27499","Dois Riachos","Vereador"," 5,76"," 6,22"
"200",2008,"AL","27510","Feira Grande","Vereador"," 8,04"," 8,56"
"201",2008,"AL","27537","Feliz Deserto","Vereador"," 4,50"," 5,00"
"202",2008,"AL","27553","Flexeiras","Vereador"," 6,22"," 6,72"
"203",2008,"AL","27570","Girau Do Ponciano","Vereador"," 6,83"," 7,44"
"204",2008,"AL","27596","Ibateguara","Vereador"," 6,58"," 7,28"
"205",2008,"AL","27618","Igaci","Vereador"," 5,00"," 5,50"
"206",2008,"AL","27634","Igreja Nova","Vereador"," 4,72"," 5,22"
"207",2008,"AL","27650","Inhapi","Vereador"," 5,56"," 6,06"
"208",2008,"AL","27677","Jacare Dos Homens","Vereador"," 3,50"," 4,00"
"209",2008,"AL","27693","Jacuipe","Vereador"," 4,95"," 5,50"
"210",2008,"AL","27715","Japaratinga","Vereador"," 6,50"," 7,00"
"211",2008,"AL","27731","Jaramataia","Vereador"," 4,42"," 5,28"
"212",2008,"AL","27758","Joaquim Gomes","Vereador"," 6,96"," 7,50"
"213",2008,"AL","27774","Jundia","Vereador"," 6,11"," 6,61"
"214",2008,"AL","27790","Junqueiro","Vereador"," 4,68"," 5,17"
"215",2008,"AL","27812","Lagoa Da Canoa","Vereador"," 3,79"," 4,39"
"216",2008,"AL","27839","Limoeiro De Anadia","Vereador"," 2,95"," 3,50"
"217",2008,"AL","27855","Maceio","Vereador","12,51","13,02"
"218",2008,"AL","27871","Major Isidoro","Vereador"," 8,07"," 8,72"
"219",2008,"AL","27898","Maragogi","Vereador"," 9,72","10,22"
"220",2008,"AL","27910","Maravilha","Vereador"," 4,60"," 5,06"
"221",2008,"AL","27936","Marechal Deodoro","Vereador"," 9,32"," 9,89"
"222",2008,"AL","27952","Maribondo","Vereador"," 9,11","10,06"
"223",2008,"AL","27979","Mar Vermelho","Vereador"," 4,96"," 5,44"
"224",2008,"AL","27995","Mata Grande","Vereador"," 7,50"," 8,00"
"225",2008,"AL","28010","Matriz De Camaragibe","Vereador"," 9,08"," 9,61"
"226",2008,"AL","28037","Messias","Vereador"," 6,65"," 7,17"
"227",2008,"AL","28053","Minador Do Negrao","Vereador"," 1,50"," 2,00"
"228",2008,"AL","28070","Monteiropolis","Vereador"," 4,36"," 4,89"
"229",2008,"AL","28096","Murici","Vereador"," 6,04"," 7,00"
"230",2008,"AL","28118","Novo Lino","Vereador"," 7,18"," 7,89"
"231",2008,"AL","28134","Olho D'agua Das Flores","Vereador"," 6,51"," 7,00"
"232",2008,"AL","28150","Olho D'agua Do Casado","Vereador"," 4,08"," 4,56"
"233",2008,"AL","28177","Olho D'agua Grande","Vereador"," 2,50"," 3,00"
"234",2008,"AL","28193","Olivenca","Vereador"," 5,50"," 6,00"
"235",2008,"AL","28215","Ouro Branco","Vereador"," 9,13"," 9,56"
"236",2008,"AL","28231","Palestina","Vereador"," 3,51"," 4,28"
"237",2008,"AL","28258","Palmeira Dos Indios","Vereador","10,93","11,45"
"238",2008,"AL","28274","Pao De Acucar","Vereador"," 8,58"," 9,00"
"239",2008,"AL","28290","Passo De Camaragibe","Vereador"," 7,02"," 7,72"
"240",2008,"AL","28312","Paulo Jacinto","Vereador"," 7,12"," 7,78"
"241",2008,"AL","28339","Penedo","Vereador"," 9,60","10,05"
"242",2008,"AL","28355","Piacabucu","Vereador"," 6,93"," 7,44"
"243",2008,"AL","28371","Pilar","Vereador"," 6,63"," 7,17"
"244",2008,"AL","28398","Pindoba","Vereador"," 4,47"," 5,00"
"245",2008,"AL","28410","Piranhas","Vereador"," 4,45"," 5,00"
"246",2008,"AL","28436","Poco Das Trincheiras","Vereador"," 5,75"," 6,22"
"247",2008,"AL","28452","Porto Calvo","Vereador"," 9,01"," 9,50"
"248",2008,"AL","28479","Porto De Pedras","Vereador"," 6,91"," 7,44"
"249",2008,"AL","28495","Porto Real Do Colegio","Vereador"," 5,32"," 5,94"
"250",2008,"AL","28517","Quebrangulo","Vereador"," 5,07"," 5,56"
"251",2008,"AL","28533","Rio Largo","Vereador","10,50","11,00"
"252",2008,"AL","28550","Roteiro","Vereador"," 3,21"," 4,06"
"253",2008,"AL","28576","Santa Luzia Do Norte","Vereador"," 8,36"," 8,94"
"254",2008,"AL","28592","Santana Do Ipanema","Vereador","10,49","11,00"
"255",2008,"AL","28614","Santana Do Mundau","Vereador"," 6,43"," 7,00"
"256",2008,"AL","28630","Sao Bras","Vereador"," 3,41"," 4,00"
"257",2008,"AL","28657","Sao Jose Da Laje","Vereador"," 7,12"," 7,72"
"258",2008,"AL","28673","Sao Jose Da Tapera","Vereador"," 7,02"," 7,50"
"259",2008,"AL","28690","Sao Luis Do Quitunde","Vereador"," 8,85","10,50"
"260",2008,"AL","28711","Sao Miguel Dos Campos","Vereador","10,66","11,17"
