"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos","Sigla do partido","Votos do partido","Quociente eleitoral","Quociente partidário"
"70",2010,"AC","Deputado Estadual",24,"351.973","PRTB","5.055","14.665,54","0,34"
"71",2010,"AC","Deputado Estadual",24,"351.973","PSB","22.791","14.665,54","1,55"
"72",2010,"AC","Deputado Estadual",24,"351.973","PSC","8.641","14.665,54","0,59"
"73",2010,"AC","Deputado Estadual",24,"351.973","PSDB","29.362","14.665,54","2"
"74",2010,"AC","Deputado Estadual",24,"351.973","PSDC","21.114","14.665,54","1,44"
"75",2010,"AC","Deputado Estadual",24,"351.973","PSL","6.657","14.665,54","0,45"
"76",2010,"AC","Deputado Estadual",24,"351.973","PSOL","440","14.665,54","0,03"
"77",2010,"AC","Deputado Estadual",24,"351.973","PT","60.623","14.665,54","4,13"
"78",2010,"AC","Deputado Estadual",24,"351.973","PT do B","4.252","14.665,54","0,29"
"79",2010,"AC","Deputado Estadual",24,"351.973","PTB","4.640","14.665,54","0,32"
"80",2010,"AC","Deputado Estadual",24,"351.973","PTC","7.480","14.665,54","0,51"
"81",2010,"AC","Deputado Estadual",24,"351.973","PTN","5.394","14.665,54","0,37"
"82",2010,"AC","Deputado Estadual",24,"351.973","PV","7.960","14.665,54","0,54"
"83",2014,"AC","Deputado Estadual",24,"405.600","DEM","17.111","16.900","1,01"
"84",2014,"AC","Deputado Estadual",24,"405.600","PC do B","16.909","16.900","1"
"85",2014,"AC","Deputado Estadual",24,"405.600","PDT","33.120","16.900","1,96"
"86",2014,"AC","Deputado Estadual",24,"405.600","PEN","13.307","16.900","0,79"
"87",2014,"AC","Deputado Estadual",24,"405.600","PHS","3.084","16.900","0,18"
"88",2014,"AC","Deputado Estadual",24,"405.600","PMDB","20.723","16.900","1,23"
"89",2014,"AC","Deputado Estadual",24,"405.600","PMN","2.840","16.900","0,17"
"90",2014,"AC","Deputado Estadual",24,"405.600","PP","27.643","16.900","1,64"
"91",2014,"AC","Deputado Estadual",24,"405.600","PPL","4.762","16.900","0,28"
"92",2014,"AC","Deputado Estadual",24,"405.600","PPS","4.434","16.900","0,26"
"93",2014,"AC","Deputado Estadual",24,"405.600","PR","12.561","16.900","0,74"
"94",2014,"AC","Deputado Estadual",24,"405.600","PRB","18.116","16.900","1,07"
"95",2014,"AC","Deputado Estadual",24,"405.600","PROS","6.414","16.900","0,38"
"96",2014,"AC","Deputado Estadual",24,"405.600","PRP","25.913","16.900","1,53"
"97",2014,"AC","Deputado Estadual",24,"405.600","PSB","26.958","16.900","1,6"
"98",2014,"AC","Deputado Estadual",24,"405.600","PSC","2.388","16.900","0,14"
"99",2014,"AC","Deputado Estadual",24,"405.600","PSD","18.873","16.900","1,12"
"100",2014,"AC","Deputado Estadual",24,"405.600","PSDB","19.290","16.900","1,14"
"101",2014,"AC","Deputado Estadual",24,"405.600","PSDC","16.276","16.900","0,96"
"102",2014,"AC","Deputado Estadual",24,"405.600","PSL","2.856","16.900","0,17"
"103",2014,"AC","Deputado Estadual",24,"405.600","PSOL","1.136","16.900","0,07"
"104",2014,"AC","Deputado Estadual",24,"405.600","PT","63.454","16.900","3,75"
"105",2014,"AC","Deputado Estadual",24,"405.600","PT do B","3.503","16.900","0,21"
"106",2014,"AC","Deputado Estadual",24,"405.600","PTB","4.543","16.900","0,27"
"107",2014,"AC","Deputado Estadual",24,"405.600","PTC","2.152","16.900","0,13"
"108",2014,"AC","Deputado Estadual",24,"405.600","PTN","18.860","16.900","1,12"
"109",2014,"AC","Deputado Estadual",24,"405.600","PV","10.728","16.900","0,63"
"110",2014,"AC","Deputado Estadual",24,"405.600","SD","7.646","16.900","0,45"
"111",2018,"AC","Deputado Estadual",24,"428.535","DC","5.986","17.855,61","0,34"
"112",2018,"AC","Deputado Estadual",24,"428.535","DEM","12.601","17.855,61","0,71"
"113",2018,"AC","Deputado Estadual",24,"428.535","MDB","40.101","17.855,61","2,25"
"114",2018,"AC","Deputado Estadual",24,"428.535","PATRI","1.240","17.855,61","0,07"
"115",2018,"AC","Deputado Estadual",24,"428.535","PC do B","16.012","17.855,61","0,9"
"116",2018,"AC","Deputado Estadual",24,"428.535","PDT","30.063","17.855,61","1,68"
"117",2018,"AC","Deputado Estadual",24,"428.535","PHS","16.861","17.855,61","0,94"
"118",2018,"AC","Deputado Estadual",24,"428.535","PMB","2.204","17.855,61","0,12"
"119",2018,"AC","Deputado Estadual",24,"428.535","PMN","3.021","17.855,61","0,17"
"120",2018,"AC","Deputado Estadual",24,"428.535","PODE","18.625","17.855,61","1,04"
"121",2018,"AC","Deputado Estadual",24,"428.535","PP","36.933","17.855,61","2,07"
"122",2018,"AC","Deputado Estadual",24,"428.535","PPL","393","17.855,61","0,02"
"123",2018,"AC","Deputado Estadual",24,"428.535","PPS","5.697","17.855,61","0,32"
"124",2018,"AC","Deputado Estadual",24,"428.535","PR","7.660","17.855,61","0,43"
"125",2018,"AC","Deputado Estadual",24,"428.535","PRB","13.977","17.855,61","0,78"
"126",2018,"AC","Deputado Estadual",24,"428.535","PROS","12.917","17.855,61","0,72"
"127",2018,"AC","Deputado Estadual",24,"428.535","PRP","12.844","17.855,61","0,72"
"128",2018,"AC","Deputado Estadual",24,"428.535","PRTB","1.264","17.855,61","0,07"
