"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","Total de cadeiras conquistadas","Percentual de cadeiras"
"88",2014,"DEPUTADO FEDERAL","PP",38,0.0740740740740741
"89",2014,"DEPUTADO FEDERAL","PPS",10,0.0194931773879142
"90",2014,"DEPUTADO FEDERAL","PR",34,0.0662768031189084
"91",2014,"DEPUTADO FEDERAL","PRB",21,0.0409356725146199
"92",2014,"DEPUTADO FEDERAL","PROS",11,0.0214424951267057
"93",2014,"DEPUTADO FEDERAL","PRP",3,0.00584795321637427
"94",2014,"DEPUTADO FEDERAL","PRTB",1,0.00194931773879142
"95",2014,"DEPUTADO FEDERAL","PSB",34,0.0662768031189084
"96",2014,"DEPUTADO FEDERAL","PSC",13,0.0253411306042885
"97",2014,"DEPUTADO FEDERAL","PSD",36,0.0701754385964912
"98",2014,"DEPUTADO FEDERAL","PSDB",54,0.105263157894737
"99",2014,"DEPUTADO FEDERAL","PSDC",2,0.00389863547758285
"100",2014,"DEPUTADO FEDERAL","PSL",1,0.00194931773879142
"101",2014,"DEPUTADO FEDERAL","PSOL",5,0.00974658869395711
"102",2014,"DEPUTADO FEDERAL","PT",68,0.132553606237817
"103",2014,"DEPUTADO FEDERAL","PT do B",2,0.00389863547758285
"104",2014,"DEPUTADO FEDERAL","PTB",25,0.0487329434697856
"105",2014,"DEPUTADO FEDERAL","PTC",2,0.00389863547758285
"106",2014,"DEPUTADO FEDERAL","PTN",4,0.00779727095516569
"107",2014,"DEPUTADO FEDERAL","PV",8,0.0155945419103314
"108",2014,"DEPUTADO FEDERAL","SD",15,0.0292397660818713
"109",2018,"DEPUTADO FEDERAL","AVANTE",7,0.01364522417154
"110",2018,"DEPUTADO FEDERAL","DC",1,0.00194931773879142
"111",2018,"DEPUTADO FEDERAL","DEM",29,0.0565302144249513
"112",2018,"DEPUTADO FEDERAL","MDB",34,0.0662768031189084
"113",2018,"DEPUTADO FEDERAL","NOVO",8,0.0155945419103314
"114",2018,"DEPUTADO FEDERAL","PATRI",5,0.00974658869395711
"115",2018,"DEPUTADO FEDERAL","PC do B",9,0.0175438596491228
"116",2018,"DEPUTADO FEDERAL","PDT",28,0.0545808966861598
"117",2018,"DEPUTADO FEDERAL","PHS",6,0.0116959064327485
"118",2018,"DEPUTADO FEDERAL","PMN",3,0.00584795321637427
"119",2018,"DEPUTADO FEDERAL","PODE",11,0.0214424951267057
"120",2018,"DEPUTADO FEDERAL","PP",37,0.0721247563352826
"121",2018,"DEPUTADO FEDERAL","PPL",1,0.00194931773879142
"122",2018,"DEPUTADO FEDERAL","PPS",8,0.0155945419103314
"123",2018,"DEPUTADO FEDERAL","PR",33,0.064327485380117
"124",2018,"DEPUTADO FEDERAL","PRB",30,0.0584795321637427
"125",2018,"DEPUTADO FEDERAL","PROS",8,0.0155945419103314
"126",2018,"DEPUTADO FEDERAL","PRP",4,0.00779727095516569
"127",2018,"DEPUTADO FEDERAL","PSB",32,0.0623781676413255
"128",2018,"DEPUTADO FEDERAL","PSC",8,0.0155945419103314
"129",2018,"DEPUTADO FEDERAL","PSD",34,0.0662768031189084
"130",2018,"DEPUTADO FEDERAL","PSDB",29,0.0565302144249513
"131",2018,"DEPUTADO FEDERAL","PSL",52,0.101364522417154
"132",2018,"DEPUTADO FEDERAL","PSOL",10,0.0194931773879142
"133",2018,"DEPUTADO FEDERAL","PT",56,0.10916179337232
"134",2018,"DEPUTADO FEDERAL","PTB",10,0.0194931773879142
"135",2018,"DEPUTADO FEDERAL","PTC",2,0.00389863547758285
"136",2018,"DEPUTADO FEDERAL","PV",4,0.00779727095516569
"137",2018,"DEPUTADO FEDERAL","REDE",1,0.00194931773879142
"138",2018,"DEPUTADO FEDERAL","SOLIDARIEDADE",13,0.0253411306042885
