"","Ano da eleição","UF","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"77",2006,"RS","Deputado Federal",1073755,502785,206661,7750583,"1.783.201",23.01
"78",2006,"SC","Deputado Federal",580322,227534,140893,4168495,"948.749",22.76
"79",2006,"SE","Deputado Federal",188227,58557,35851,1299785,"282.635",21.74
"80",2006,"SP","Deputado Federal",4265677,1667056,1175539,28037256,"7.108.272",25.35
"81",2006,"TO","Deputado Federal",160647,16727,13565,882728,"190.939",21.63
"82",2010,"AC","Deputado Federal",106975,9718,7726,470545,"124.419",26.44
"83",2010,"AL","Deputado Federal",449639,105310,60125,2033483,"615.074",30.25
"84",2010,"AM","Deputado Federal",405988,49665,28430,2027377,"484.083",23.88
"85",2010,"AP","Deputado Federal",62539,6815,5446,420331,"74.800",17.8
"86",2010,"BA","Deputado Federal",2057603,461490,317912,9543992,"2.837.005",29.73
"87",2010,"CE","Deputado Federal",1178631,287362,149387,5878066,"1.615.380",27.48
"88",2010,"DF","Deputado Federal",283177,87395,53591,1833942,"424.163",23.13
"89",2010,"ES","Deputado Federal",438946,139580,57070,2521991,"635.596",25.2
"90",2010,"GO","Deputado Federal",729276,224110,113075,4058912,"1.66.461",26.27
"91",2010,"MA","Deputado Federal",1035648,159978,78310,4320748,"1.273.936",29.48
"92",2010,"MG","Deputado Federal",2675492,889536,510032,14513934,"4.75.060",28.08
"93",2010,"MS","Deputado Federal",308448,69547,38826,1700912,"416.821",24.51
"94",2010,"MT","Deputado Federal",438820,88033,43552,2094032,"570.405",27.24
"95",2010,"PA","Deputado Federal",1008755,149386,87560,4763365,"1.245.701",26.15
"96",2010,"PB","Deputado Federal",506052,186929,91061,2738313,"784.042",28.63
"97",2010,"PE","Deputado Federal",1214277,429748,151079,6256213,"1.795.104",28.69
"98",2010,"PI","Deputado Federal",448538,79891,55772,2261862,"584.201",25.83
"99",2010,"PR","Deputado Federal",1250376,411429,205490,7597999,"1.867.295",24.58
"100",2010,"RJ","Deputado Federal",2011597,722753,654704,11584083,"3.389.054",29.26
"101",2010,"RN","Deputado Federal",367434,140330,76230,2245115,"583.994",26.01
"102",2010,"RO","Deputado Federal",231997,36806,16940,1078348,"285.743",26.5
"103",2010,"RR","Deputado Federal",37980,4175,3690,271596,"45.845",16.88
"104",2010,"RS","Deputado Federal",1204648,524822,176043,8107550,"1.905.513",23.5
"105",2010,"SC","Deputado Federal",636654,282998,144990,4536718,"1.64.642",23.47
"106",2010,"SE","Deputado Federal",240465,91302,47689,1425334,"379.456",26.62
"107",2010,"SP","Deputado Federal",4979456,1843840,1196648,30289723,"8.19.944",26.48
"108",2010,"TO","Deputado Federal",175260,23886,20106,947904,"219.252",23.13
"109",2014,"AC","Deputado Federal",87748,11851,7720,506520,"107.319",21.19
"110",2014,"AL","Deputado Federal",382657,139167,88722,1995153,"610.546",30.6
"111",2014,"AM","Deputado Federal",433813,89383,41952,2225630,"565.148",25.39
"112",2014,"AP","Deputado Federal",47522,11056,9891,455368,"68.469",15.04
"113",2014,"BA","Deputado Federal",2360558,624497,476364,10179390,"3.461.419",34
"114",2014,"CE","Deputado Federal",1261344,397908,240085,6268909,"1.899.337",30.3
"115",2014,"DF","Deputado Federal",221189,128247,89944,1895697,"439.380",23.18
"116",2014,"ES","Deputado Federal",501373,200025,94292,2651621,"795.690",30.01
"117",2014,"GO","Deputado Federal",815396,282603,193844,4329834,"1.291.843",29.84
"118",2014,"MA","Deputado Federal",1062192,202315,87458,4495864,"1.351.965",30.07
"119",2014,"MG","Deputado Federal",3050396,1209613,802591,15236578,"5.62.600",33.23
"120",2014,"MS","Deputado Federal",373191,115560,51099,1817511,"539.850",29.7
"121",2014,"MT","Deputado Federal",501407,147354,74988,2188283,"723.749",33.07
"122",2014,"PA","Deputado Federal",1094110,214643,118038,5185950,"1.426.791",27.51
"123",2014,"PB","Deputado Federal",500260,245880,149343,2834782,"895.483",31.59
"124",2014,"PE","Deputado Federal",1049479,565036,249805,6353859,"1.864.320",29.34
"125",2014,"PI","Deputado Federal",443062,95755,69422,2344476,"608.239",25.94
"126",2014,"PR","Deputado Federal",1324920,539065,291820,7861171,"2.155.805",27.42
"127",2014,"RJ","Deputado Federal",2440581,929016,964711,12134443,"4.334.308",35.72
"128",2014,"RN","Deputado Federal",391478,165088,187164,2326583,"743.730",31.97
"129",2014,"RO","Deputado Federal",240573,56649,30805,1126502,"328.027",29.12
"130",2014,"RR","Deputado Federal",37217,8145,7180,299411,"52.542",17.55
"131",2014,"RS","Deputado Federal",1408386,756938,274774,8385229,"2.440.098",29.1
"132",2014,"SC","Deputado Federal",796820,399563,260351,4855732,"1.456.734",30
"133",2014,"SE","Deputado Federal",213706,106363,80687,1453597,"400.756",27.57
"134",2014,"SP","Deputado Federal",6242936,2426244,1895514,31979717,"10.564.694",33.04
"135",2014,"TO","Deputado Federal",195295,38622,28826,996379,"262.743",26.37
"136",2018,"AC","Deputado Federal",103929,10427,7882,547358,"122.238",22.33
"137",2018,"AL","Deputado Federal",494353,92833,136496,2187228,"723.682",33.09
"138",2018,"AM","Deputado Federal",469693,82920,95163,2427111,"647.776",26.69
"139",2018,"AP","Deputado Federal",85442,11089,11273,511824,"107.804",21.06
"140",2018,"BA","Deputado Federal",2154937,373150,854819,10390247,"3.382.906",32.56
"141",2018,"CE","Deputado Federal",1099042,263172,374928,6342532,"1.737.142",27.39
"142",2018,"DF","Deputado Federal",389826,122858,102916,2081218,"615.600",29.58
"143",2018,"ES","Deputado Federal",530378,144366,142393,2753585,"817.137",29.68
"144",2018,"GO","Deputado Federal",899328,222192,293661,4453034,"1.415.181",31.78
"145",2018,"MA","Deputado Federal",931519,157939,145474,4536193,"1.234.932",27.22
"146",2018,"MG","Deputado Federal",3483956,848282,1249027,15695210,"5.581.265",35.56
"147",2018,"MS","Deputado Federal",398287,95339,85097,1876929,"578.723",30.83
"148",2018,"MT","Deputado Federal",572006,115183,125792,2329374,"812.981",34.9
"149",2018,"PA","Deputado Federal",1096978,185924,249704,5497589,"1.532.606",27.88
"150",2018,"PB","Deputado Federal",431016,164626,270937,2866493,"866.579",30.23
"151",2018,"PE","Deputado Federal",1175896,354663,701425,6567535,"2.231.984",33.99
"152",2018,"PI","Deputado Federal",372423,78267,123988,2370010,"574.678",24.25
"153",2018,"PR","Deputado Federal",1351508,433691,435007,7968409,"2.220.206",27.86
"154",2018,"RJ","Deputado Federal",2926758,633446,955817,12401199,"4.516.021",36.42
"155",2018,"RN","Deputado Federal",406098,109541,230692,2372548,"746.331",31.46
"156",2018,"RO","Deputado Federal",262219,43183,50894,1175133,"356.296",30.32
"157",2018,"RR","Deputado Federal",46399,6160,7306,333153,"59.865",17.97
"158",2018,"RS","Deputado Federal",1514852,596391,377423,8350718,"2.488.666",29.8
"159",2018,"SC","Deputado Federal",826754,301690,319534,5068421,"1.447.978",28.57
"160",2018,"SE","Deputado Federal",296770,72049,153377,1576352,"522.196",33.13
"161",2018,"SP","Deputado Federal",7111052,1952806,2670041,33032372,"11.733.899",35.52
"162",2018,"TO","Deputado Federal",207540,27259,86487,1038754,"321.286",30.93
