"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos ","Sigla do partido","Votos válidos do partido","Quociente eleitoral","Quociente partidário"
"548",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PHS",684,"14.524,70",0.05
"549",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PMDB",27103,"14.524,70",1.87
"550",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PMN",1613,"14.524,70",0.11
"551",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PP",22612,"14.524,70",1.56
"552",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PPS",12654,"14.524,70",0.87
"553",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PR",10658,"14.524,70",0.73
"554",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PRB",9430,"14.524,70",0.65
"555",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PRP",1830,"14.524,70",0.13
"556",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PRTB",20773,"14.524,70",1.43
"557",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSB",17253,"14.524,70",1.19
"558",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSC",21042,"14.524,70",1.45
"559",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSDB",26751,"14.524,70",1.84
"560",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSDC",7380,"14.524,70",0.51
"561",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSL",2029,"14.524,70",0.14
"562",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSOL",500,"14.524,70",0.03
"563",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PSTU",221,"14.524,70",0.02
"564",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PT",16536,"14.524,70",1.14
"565",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PT do B",22163,"14.524,70",1.53
"566",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PTB",27835,"14.524,70",1.92
"567",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PTC",149,"14.524,70",0.01
"568",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PTN",387,"14.524,70",0.03
"569",2010,"AP","DEPUTADO ESTADUAL",24,348593,"PV",10484,"14.524,70",0.72
"570",2014,"AP","DEPUTADO ESTADUAL",24,393212,"DEM",16205,"16.383,83",0.99
"571",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PC do B",4759,"16.383,83",0.29
"572",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PDT",28467,"16.383,83",1.74
"573",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PEN",1257,"16.383,83",0.08
"574",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PHS",11644,"16.383,83",0.71
"575",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PMDB",20992,"16.383,83",1.28
