"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"104",1998,"DEPUTADO FEDERAL","PSB","AL",1
"105",1998,"DEPUTADO FEDERAL","PSB","AP",1
"106",1998,"DEPUTADO FEDERAL","PSB","CE",1
"107",1998,"DEPUTADO FEDERAL","PSB","MA",1
"108",1998,"DEPUTADO FEDERAL","PSB","PE",8
"109",1998,"DEPUTADO FEDERAL","PSB","RJ",2
"110",1998,"DEPUTADO FEDERAL","PSB","RS",1
"111",1998,"DEPUTADO FEDERAL","PSB","SE",1
"112",1998,"DEPUTADO FEDERAL","PSB","SP",2
"113",1998,"DEPUTADO FEDERAL","PSC","MA",1
"114",1998,"DEPUTADO FEDERAL","PSC","RJ",1
"115",1998,"DEPUTADO FEDERAL","PSD","AL",1
"116",1998,"DEPUTADO FEDERAL","PSD","GO",1
"117",1998,"DEPUTADO FEDERAL","PSD","MA",1
"118",1998,"DEPUTADO FEDERAL","PSDB","AL",2
"119",1998,"DEPUTADO FEDERAL","PSDB","AM",1
"120",1998,"DEPUTADO FEDERAL","PSDB","AP",3
"121",1998,"DEPUTADO FEDERAL","PSDB","BA",6
"122",1998,"DEPUTADO FEDERAL","PSDB","CE",12
"123",1998,"DEPUTADO FEDERAL","PSDB","DF",1
"124",1998,"DEPUTADO FEDERAL","PSDB","ES",3
"125",1998,"DEPUTADO FEDERAL","PSDB","GO",2
"126",1998,"DEPUTADO FEDERAL","PSDB","MA",3
"127",1998,"DEPUTADO FEDERAL","PSDB","MG",14
"128",1998,"DEPUTADO FEDERAL","PSDB","MS",2
"129",1998,"DEPUTADO FEDERAL","PSDB","MT",3
"130",1998,"DEPUTADO FEDERAL","PSDB","PA",4
"131",1998,"DEPUTADO FEDERAL","PSDB","PB",1
"132",1998,"DEPUTADO FEDERAL","PSDB","PE",1
"133",1998,"DEPUTADO FEDERAL","PSDB","PI",1
"134",1998,"DEPUTADO FEDERAL","PSDB","PR",5
"135",1998,"DEPUTADO FEDERAL","PSDB","RJ",11
"136",1998,"DEPUTADO FEDERAL","PSDB","RO",2
"137",1998,"DEPUTADO FEDERAL","PSDB","RR",2
"138",1998,"DEPUTADO FEDERAL","PSDB","RS",2
"139",1998,"DEPUTADO FEDERAL","PSDB","SC",1
"140",1998,"DEPUTADO FEDERAL","PSDB","SE",1
"141",1998,"DEPUTADO FEDERAL","PSDB","SP",15
"142",1998,"DEPUTADO FEDERAL","PSDB","TO",1
"143",1998,"DEPUTADO FEDERAL","PSL","PE",1
"144",1998,"DEPUTADO FEDERAL","PST","MG",1
"145",1998,"DEPUTADO FEDERAL","PT","AC",2
"146",1998,"DEPUTADO FEDERAL","PT","BA",5
"147",1998,"DEPUTADO FEDERAL","PT","CE",1
"148",1998,"DEPUTADO FEDERAL","PT","DF",2
"149",1998,"DEPUTADO FEDERAL","PT","ES",1
"150",1998,"DEPUTADO FEDERAL","PT","GO",1
"151",1998,"DEPUTADO FEDERAL","PT","MG",7
"152",1998,"DEPUTADO FEDERAL","PT","MS",2
"153",1998,"DEPUTADO FEDERAL","PT","PA",3
"154",1998,"DEPUTADO FEDERAL","PT","PB",1
"155",1998,"DEPUTADO FEDERAL","PT","PE",1
"156",1998,"DEPUTADO FEDERAL","PT","PI",1
"157",1998,"DEPUTADO FEDERAL","PT","PR",3
"158",1998,"DEPUTADO FEDERAL","PT","RJ",4
"159",1998,"DEPUTADO FEDERAL","PT","RS",8
"160",1998,"DEPUTADO FEDERAL","PT","SC",2
"161",1998,"DEPUTADO FEDERAL","PT","SE",1
"162",1998,"DEPUTADO FEDERAL","PT","SP",14
"163",1998,"DEPUTADO FEDERAL","PTB","AL",1
"164",1998,"DEPUTADO FEDERAL","PTB","AP",1
"165",1998,"DEPUTADO FEDERAL","PTB","BA",1
"166",1998,"DEPUTADO FEDERAL","PTB","ES",3
"167",1998,"DEPUTADO FEDERAL","PTB","MG",2
"168",1998,"DEPUTADO FEDERAL","PTB","MS",1
"169",1998,"DEPUTADO FEDERAL","PTB","MT",1
"170",1998,"DEPUTADO FEDERAL","PTB","PA",1
"171",1998,"DEPUTADO FEDERAL","PTB","PB",1
"172",1998,"DEPUTADO FEDERAL","PTB","PE",1
"173",1998,"DEPUTADO FEDERAL","PTB","PR",6
"174",1998,"DEPUTADO FEDERAL","PTB","RJ",2
"175",1998,"DEPUTADO FEDERAL","PTB","RO",1
"176",1998,"DEPUTADO FEDERAL","PTB","RR",1
"177",1998,"DEPUTADO FEDERAL","PTB","RS",3
"178",1998,"DEPUTADO FEDERAL","PTB","SP",5
"179",1998,"DEPUTADO FEDERAL","PV","RJ",1
"180",2002,"DEPUTADO FEDERAL","PC do B","AC",1
"181",2002,"DEPUTADO FEDERAL","PC do B","AM",1
"182",2002,"DEPUTADO FEDERAL","PC do B","BA",2
"183",2002,"DEPUTADO FEDERAL","PC do B","CE",1
"184",2002,"DEPUTADO FEDERAL","PC do B","DF",1
