"","Município - UF"
"973","Goianápolis - GO"
"974","Goiandira - GO"
"975","Goianésia - GO"
"976","Goiânia - GO"
"977","Goianira - GO"
"978","Goiás - GO"
"979","Goiatuba - GO"
"980","Gouvelândia - GO"
"981","Guapó - GO"
"982","Guaraíta - GO"
"983","Guarani de Goiás - GO"
"984","Guarinos - GO"
"985","Heitoraí - GO"
"986","Hidrolândia - GO"
"987","Hidrolina - GO"
"988","Iaciara - GO"
"989","Inaciolândia - GO"
"990","Indiara - GO"
"991","Inhumas - GO"
"992","Ipameri - GO"
"993","Ipiranga de Goiás - GO"
"994","Iporá - GO"
"995","Israelândia - GO"
"996","Itaberaí - GO"
"997","Itaguari - GO"
"998","Itaguaru - GO"
"999","Itajá - GO"
"1000","Itapaci - GO"
"1001","Itapirapuã - GO"
"1002","Itapuranga - GO"
"1003","Itarumã - GO"
"1004","Itauçu - GO"
"1005","Itumbiara - GO"
"1006","Ivolândia - GO"
"1007","Jandaia - GO"
"1008","Jaraguá - GO"
"1009","Jataí - GO"
"1010","Jaupaci - GO"
"1011","Jesúpolis - GO"
"1012","Joviânia - GO"
"1013","Jussara - GO"
"1014","Lagoa Santa - GO"
"1015","Leopoldo de Bulhões - GO"
"1016","Luziânia - GO"
"1017","Mairipotaba - GO"
"1018","Mambaí - GO"
"1019","Mara Rosa - GO"
"1020","Marzagão - GO"
"1021","Matrinchã - GO"
"1022","Maurilândia - GO"
"1023","Mimoso de Goiás - GO"
"1024","Minaçu - GO"
"1025","Mineiros - GO"
"1026","Moiporá - GO"
"1027","Monte Alegre de Goiás - GO"
"1028","Montes Claros de Goiás - GO"
"1029","Montividiu - GO"
"1030","Montividiu do Norte - GO"
"1031","Morrinhos - GO"
"1032","Morro Agudo de Goiás - GO"
"1033","Mossâmedes - GO"
"1034","Mozarlândia - GO"
"1035","Mundo Novo - GO"
"1036","Mutunópolis - GO"
"1037","Nazário - GO"
"1038","Nerópolis - GO"
"1039","Niquelândia - GO"
"1040","Nova América - GO"
"1041","Nova Aurora - GO"
"1042","Nova Crixás - GO"
"1043","Nova Glória - GO"
"1044","Nova Iguaçu de Goiás - GO"
"1045","Nova Roma - GO"
"1046","Nova Veneza - GO"
"1047","Novo Brasil - GO"
"1048","Novo Gama - GO"
"1049","Novo Planalto - GO"
"1050","Orizona - GO"
"1051","Ouro Verde de Goiás - GO"
"1052","Ouvidor - GO"
"1053","Padre Bernardo - GO"
"1054","Palestina de Goiás - GO"
"1055","Palmeiras de Goiás - GO"
"1056","Palmelo - GO"
"1057","Palminópolis - GO"
"1058","Panamá - GO"
"1059","Paranaiguara - GO"
"1060","Paraúna - GO"
"1061","Perolândia - GO"
"1062","Petrolina de Goiás - GO"
"1063","Pilar de Goiás - GO"
"1064","Piracanjuba - GO"
"1065","Piranhas - GO"
"1066","Pirenópolis - GO"
"1067","Pires do Rio - GO"
"1068","Planaltina - GO"
"1069","Pontalina - GO"
"1070","Porangatu - GO"
"1071","Porteirão - GO"
"1072","Portelândia - GO"
"1073","Posse - GO"
"1074","Professor Jamil - GO"
"1075","Quirinópolis - GO"
"1076","Rialma - GO"
"1077","Rianápolis - GO"
"1078","Rio Quente - GO"
"1079","Rio Verde - GO"
"1080","Rubiataba - GO"
"1081","Sanclerlândia - GO"
"1082","Santa Bárbara de Goiás - GO"
"1083","Santa Cruz de Goiás - GO"
"1084","Santa Fé de Goiás - GO"
"1085","Santa Helena de Goiás - GO"
"1086","Santa Isabel - GO"
"1087","Santa Rita do Araguaia - GO"
"1088","Santa Rita do Novo Destino - GO"
"1089","Santa Rosa de Goiás - GO"
"1090","Santa Tereza de Goiás - GO"
"1091","Santa Terezinha de Goiás - GO"
"1092","Santo Antônio da Barra - GO"
"1093","Santo Antônio de Goiás - GO"
"1094","Santo Antônio do Descoberto - GO"
"1095","São Domingos - GO"
"1096","São Francisco de Goiás - GO"
"1097","São João d'Aliança - GO"
"1098","São João da Paraúna - GO"
"1099","São Luís de Montes Belos - GO"
"1100","São Luiz do Norte - GO"
"1101","São Miguel do Araguaia - GO"
"1102","São Miguel do Passa Quatro - GO"
"1103","São Patrício - GO"
"1104","São Simão - GO"
"1105","Senador Canedo - GO"
"1106","Serranópolis - GO"
"1107","Silvânia - GO"
"1108","Simolândia - GO"
"1109","Sítio d'Abadia - GO"
"1110","Taquaral de Goiás - GO"
"1111","Teresina de Goiás - GO"
"1112","Terezópolis de Goiás - GO"
"1113","Três Ranchos - GO"
"1114","Trindade - GO"
"1115","Trombas - GO"
"1116","Turvânia - GO"
"1117","Turvelândia - GO"
"1118","Uirapuru - GO"
"1119","Uruaçu - GO"
"1120","Uruana - GO"
"1121","Urutaí - GO"
"1122","Valparaíso de Goiás - GO"
"1123","Varjão - GO"
"1124","Vianópolis - GO"
"1125","Vicentinópolis - GO"
"1126","Vila Boa - GO"
"1127","Vila Propício - GO"
"1128","Açailândia - MA"
"1129","Afonso Cunha - MA"
"1130","Água Doce do Maranhão - MA"
"1131","Alcântara - MA"
"1132","Aldeias Altas - MA"
"1133","Altamira do Maranhão - MA"
"1134","Alto Alegre do Maranhão - MA"
"1135","Alto Alegre do Pindaré - MA"
"1136","Alto Parnaíba - MA"
"1137","Amapá do Maranhão - MA"
"1138","Amarante do Maranhão - MA"
"1139","Anajatuba - MA"
"1140","Anapurus - MA"
"1141","Apicum-Açu - MA"
"1142","Araguanã - MA"
"1143","Araioses - MA"
"1144","Arame - MA"
"1145","Arari - MA"
"1146","Axixá - MA"
"1147","Bacabal - MA"
"1148","Bacabeira - MA"
"1149","Bacuri - MA"
"1150","Bacurituba - MA"
"1151","Balsas - MA"
"1152","Barão de Grajaú - MA"
"1153","Barra do Corda - MA"
"1154","Barreirinhas - MA"
"1155","Bela Vista do Maranhão - MA"
"1156","Belágua - MA"
"1157","Benedito Leite - MA"
"1158","Bequimão - MA"
"1159","Bernardo do Mearim - MA"
"1160","Boa Vista do Gurupi - MA"
"1161","Bom Jardim - MA"
"1162","Bom Jesus das Selvas - MA"
"1163","Bom Lugar - MA"
"1164","Brejo - MA"
"1165","Brejo de Areia - MA"
"1166","Buriti - MA"
"1167","Buriti Bravo - MA"
"1168","Buriticupu - MA"
"1169","Buritirana - MA"
"1170","Cachoeira Grande - MA"
"1171","Cajapió - MA"
"1172","Cajari - MA"
"1173","Campestre do Maranhão - MA"
"1174","Cândido Mendes - MA"
"1175","Cantanhede - MA"
"1176","Capinzal do Norte - MA"
"1177","Carolina - MA"
"1178","Carutapera - MA"
"1179","Caxias - MA"
"1180","Cedral - MA"
"1181","Central do Maranhão - MA"
"1182","Centro do Guilherme - MA"
"1183","Centro Novo do Maranhão - MA"
"1184","Chapadinha - MA"
"1185","Cidelândia - MA"
"1186","Codó - MA"
"1187","Coelho Neto - MA"
"1188","Colinas - MA"
"1189","Conceição do Lago-Açu - MA"
"1190","Coroatá - MA"
"1191","Cururupu - MA"
"1192","Davinópolis - MA"
"1193","Dom Pedro - MA"
"1194","Duque Bacelar - MA"
"1195","Esperantinópolis - MA"
"1196","Estreito - MA"
"1197","Feira Nova do Maranhão - MA"
"1198","Fernando Falcão - MA"
"1199","Formosa da Serra Negra - MA"
"1200","Fortaleza dos Nogueiras - MA"
"1201","Fortuna - MA"
"1202","Godofredo Viana - MA"
"1203","Gonçalves Dias - MA"
"1204","Governador Archer - MA"
"1205","Governador Edison Lobão - MA"
"1206","Governador Eugênio Barros - MA"
"1207","Governador Luiz Rocha - MA"
"1208","Governador Newton Bello - MA"
"1209","Governador Nunes Freire - MA"
"1210","Graça Aranha - MA"
"1211","Grajaú - MA"
"1212","Guimarães - MA"
"1213","Humberto de Campos - MA"
"1214","Icatu - MA"
"1215","Igarapé do Meio - MA"
"1216","Igarapé Grande - MA"
"1217","Imperatriz - MA"
"1218","Itaipava do Grajaú - MA"
"1219","Itapecuru Mirim - MA"
"1220","Itinga do Maranhão - MA"
"1221","Jatobá - MA"
"1222","Jenipapo dos Vieiras - MA"
"1223","João Lisboa - MA"
"1224","Joselândia - MA"
"1225","Junco do Maranhão - MA"
"1226","Lago da Pedra - MA"
"1227","Lago do Junco - MA"
"1228","Lago dos Rodrigues - MA"
"1229","Lago Verde - MA"
"1230","Lagoa do Mato - MA"
"1231","Lagoa Grande do Maranhão - MA"
"1232","Lajeado Novo - MA"
"1233","Lima Campos - MA"
"1234","Loreto - MA"
"1235","Luís Domingues - MA"
"1236","Magalhães de Almeida - MA"
"1237","Maracaçumé - MA"
"1238","Marajá do Sena - MA"
"1239","Maranhãozinho - MA"
"1240","Mata Roma - MA"
"1241","Matinha - MA"
"1242","Matões - MA"
"1243","Matões do Norte - MA"
"1244","Milagres do Maranhão - MA"
"1245","Mirador - MA"
"1246","Miranda do Norte - MA"
"1247","Mirinzal - MA"
"1248","Monção - MA"
"1249","Montes Altos - MA"
"1250","Morros - MA"
"1251","Nina Rodrigues - MA"
"1252","Nova Colinas - MA"
"1253","Nova Iorque - MA"
"1254","Nova Olinda do Maranhão - MA"
"1255","Olho d'Água das Cunhãs - MA"
"1256","Olinda Nova do Maranhão - MA"
"1257","Paço do Lumiar - MA"
"1258","Palmeirândia - MA"
"1259","Paraibano - MA"
"1260","Parnarama - MA"
"1261","Passagem Franca - MA"
"1262","Pastos Bons - MA"
"1263","Paulino Neves - MA"
"1264","Paulo Ramos - MA"
"1265","Pedreiras - MA"
"1266","Pedro do Rosário - MA"
"1267","Penalva - MA"
"1268","Peri Mirim - MA"
"1269","Peritoró - MA"
"1270","Pindaré-Mirim - MA"
"1271","Pinheiro - MA"
"1272","Pio XII - MA"
"1273","Pirapemas - MA"
"1274","Poção de Pedras - MA"
"1275","Porto Franco - MA"
"1276","Porto Rico do Maranhão - MA"
"1277","Presidente Dutra - MA"
"1278","Presidente Juscelino - MA"
"1279","Presidente Médici - MA"
"1280","Presidente Sarney - MA"
"1281","Presidente Vargas - MA"
"1282","Primeira Cruz - MA"
"1283","Raposa - MA"
"1284","Riachão - MA"
"1285","Ribamar Fiquene - MA"
"1286","Rosário - MA"
"1287","Sambaíba - MA"
"1288","Santa Filomena do Maranhão - MA"
"1289","Santa Helena - MA"
"1290","Santa Inês - MA"
"1291","Santa Luzia - MA"
"1292","Santa Luzia do Paruá - MA"
"1293","Santa Quitéria do Maranhão - MA"
"1294","Santa Rita - MA"
"1295","Santana do Maranhão - MA"
"1296","Santo Amaro do Maranhão - MA"
"1297","Santo Antônio dos Lopes - MA"
"1298","São Benedito do Rio Preto - MA"
"1299","São Bento - MA"
"1300","São Bernardo - MA"
"1301","São Domingos do Azeitão - MA"
"1302","São Domingos do Maranhão - MA"
"1303","São Félix de Balsas - MA"
"1304","São Francisco do Brejão - MA"
"1305","São Francisco do Maranhão - MA"
"1306","São João Batista - MA"
"1307","São João do Carú - MA"
"1308","São João do Paraíso - MA"
"1309","São João do Soter - MA"
"1310","São João dos Patos - MA"
"1311","São José de Ribamar - MA"
"1312","São José dos Basílios - MA"
"1313","São Luís - MA"
"1314","São Luís Gonzaga do Maranhão - MA"
"1315","São Mateus do Maranhão - MA"
"1316","São Pedro da Água Branca - MA"
"1317","São Pedro dos Crentes - MA"
"1318","São Raimundo das Mangabeiras - MA"
"1319","São Raimundo do Doca Bezerra - MA"
"1320","São Roberto - MA"
"1321","São Vicente Ferrer - MA"
"1322","Satubinha - MA"
"1323","Senador Alexandre Costa - MA"
"1324","Senador La Rocque - MA"
"1325","Serrano do Maranhão - MA"
"1326","Sítio Novo - MA"
"1327","Sucupira do Norte - MA"
"1328","Sucupira do Riachão - MA"
"1329","Tasso Fragoso - MA"
"1330","Timbiras - MA"
"1331","Timon - MA"
"1332","Trizidela do Vale - MA"
"1333","Tufilândia - MA"
"1334","Tuntum - MA"
"1335","Turiaçu - MA"
"1336","Turilândia - MA"
"1337","Tutóia - MA"
"1338","Urbano Santos - MA"
"1339","Vargem Grande - MA"
"1340","Viana - MA"
"1341","Vila Nova dos Martírios - MA"
"1342","Vitória do Mearim - MA"
"1343","Vitorino Freire - MA"
"1344","Zé Doca - MA"
"1345","Abadia dos Dourados - MG"
"1346","Abaeté - MG"
"1347","Abre Campo - MG"
"1348","Acaiaca - MG"
"1349","Açucena - MG"
"1350","Água Boa - MG"
"1351","Água Comprida - MG"
"1352","Aguanil - MG"
"1353","Águas Formosas - MG"
"1354","Águas Vermelhas - MG"
"1355","Aimorés - MG"
"1356","Aiuruoca - MG"
"1357","Alagoa - MG"
"1358","Albertina - MG"
"1359","Além Paraíba - MG"
"1360","Alfenas - MG"
"1361","Alfredo Vasconcelos - MG"
"1362","Almenara - MG"
"1363","Alpercata - MG"
"1364","Alpinópolis - MG"
"1365","Alterosa - MG"
"1366","Alto Caparaó - MG"
"1367","Alto Jequitibá - MG"
"1368","Alto Rio Doce - MG"
"1369","Alvarenga - MG"
"1370","Alvinópolis - MG"
"1371","Alvorada de Minas - MG"
"1372","Amparo do Serra - MG"
"1373","Andradas - MG"
"1374","Andrelândia - MG"
"1375","Angelândia - MG"
"1376","Antônio Carlos - MG"
"1377","Antônio Dias - MG"
"1378","Antônio Prado de Minas - MG"
"1379","Araçaí - MG"
"1380","Aracitaba - MG"
"1381","Araçuaí - MG"
"1382","Araguari - MG"
"1383","Arantina - MG"
"1384","Araponga - MG"
"1385","Araporã - MG"
"1386","Arapuá - MG"
"1387","Araújos - MG"
"1388","Araxá - MG"
"1389","Arceburgo - MG"
"1390","Arcos - MG"
"1391","Areado - MG"
"1392","Argirita - MG"
"1393","Aricanduva - MG"
"1394","Arinos - MG"
"1395","Astolfo Dutra - MG"
"1396","Ataléia - MG"
"1397","Augusto de Lima - MG"
"1398","Baependi - MG"
"1399","Baldim - MG"
"1400","Bambuí - MG"
"1401","Bandeira - MG"
"1402","Bandeira do Sul - MG"
"1403","Barão de Cocais - MG"
"1404","Barão de Monte Alto - MG"
"1405","Barbacena - MG"
"1406","Barra Longa - MG"
"1407","Barroso - MG"
"1408","Bela Vista de Minas - MG"
"1409","Belmiro Braga - MG"
"1410","Belo Horizonte - MG"
"1411","Belo Oriente - MG"
"1412","Belo Vale - MG"
"1413","Berilo - MG"
"1414","Berizal - MG"
"1415","Bertópolis - MG"
"1416","Betim - MG"
"1417","Bias Fortes - MG"
"1418","Bicas - MG"
"1419","Biquinhas - MG"
"1420","Boa Esperança - MG"
"1421","Bocaina de Minas - MG"
"1422","Bocaiúva - MG"
"1423","Bom Despacho - MG"
"1424","Bom Jardim de Minas - MG"
"1425","Bom Jesus da Penha - MG"
"1426","Bom Jesus do Amparo - MG"
"1427","Bom Jesus do Galho - MG"
"1428","Bom Repouso - MG"
"1429","Bom Sucesso - MG"
"1430","Bonfim - MG"
"1431","Bonfinópolis de Minas - MG"
"1432","Bonito de Minas - MG"
"1433","Borda da Mata - MG"
"1434","Botelhos - MG"
"1435","Botumirim - MG"
"1436","Brás Pires - MG"
"1437","Brasilândia de Minas - MG"
"1438","Brasília de Minas - MG"
"1439","Braúnas - MG"
"1440","Brazópolis - MG"
"1441","Brumadinho - MG"
"1442","Bueno Brandão - MG"
"1443","Buenópolis - MG"
"1444","Bugre - MG"
"1445","Buritis - MG"
"1446","Buritizeiro - MG"
"1447","Cabeceira Grande - MG"
"1448","Cabo Verde - MG"
"1449","Cachoeira da Prata - MG"
"1450","Cachoeira de Minas - MG"
"1451","Cachoeira de Pajeú - MG"
"1452","Cachoeira Dourada - MG"
"1453","Caetanópolis - MG"
"1454","Caeté - MG"
"1455","Caiana - MG"
"1456","Cajuri - MG"
"1457","Caldas - MG"
"1458","Camacho - MG"
"1459","Camanducaia - MG"
"1460","Cambuí - MG"
"1461","Cambuquira - MG"
"1462","Campanário - MG"
"1463","Campanha - MG"
"1464","Campestre - MG"
"1465","Campina Verde - MG"
"1466","Campo Azul - MG"
"1467","Campo Belo - MG"
"1468","Campo do Meio - MG"
"1469","Campo Florido - MG"
"1470","Campos Altos - MG"
"1471","Campos Gerais - MG"
"1472","Cana Verde - MG"
"1473","Canaã - MG"
"1474","Canápolis - MG"
"1475","Candeias - MG"
"1476","Cantagalo - MG"
"1477","Caparaó - MG"
"1478","Capela Nova - MG"
"1479","Capelinha - MG"
"1480","Capetinga - MG"
"1481","Capim Branco - MG"
"1482","Capinópolis - MG"
"1483","Capitão Andrade - MG"
"1484","Capitão Enéas - MG"
"1485","Capitólio - MG"
"1486","Caputira - MG"
"1487","Caraí - MG"
"1488","Caranaíba - MG"
"1489","Carandaí - MG"
"1490","Carangola - MG"
"1491","Caratinga - MG"
"1492","Carbonita - MG"
"1493","Careaçu - MG"
"1494","Carlos Chagas - MG"
"1495","Carmésia - MG"
"1496","Carmo da Cachoeira - MG"
"1497","Carmo da Mata - MG"
"1498","Carmo de Minas - MG"
"1499","Carmo do Cajuru - MG"
"1500","Carmo do Paranaíba - MG"
"1501","Carmo do Rio Claro - MG"
"1502","Carmópolis de Minas - MG"
"1503","Carneirinho - MG"
"1504","Carrancas - MG"
"1505","Carvalhópolis - MG"
"1506","Carvalhos - MG"
"1507","Casa Grande - MG"
"1508","Cascalho Rico - MG"
"1509","Cássia - MG"
"1510","Cataguases - MG"
"1511","Catas Altas - MG"
"1512","Catas Altas da Noruega - MG"
"1513","Catuji - MG"
"1514","Catuti - MG"
"1515","Caxambu - MG"
"1516","Cedro do Abaeté - MG"
"1517","Central de Minas - MG"
"1518","Centralina - MG"
"1519","Chácara - MG"
"1520","Chalé - MG"
"1521","Chapada do Norte - MG"
"1522","Chapada Gaúcha - MG"
"1523","Chiador - MG"
"1524","Cipotânea - MG"
"1525","Claraval - MG"
"1526","Claro dos Poções - MG"
"1527","Cláudio - MG"
"1528","Coimbra - MG"
"1529","Coluna - MG"
"1530","Comendador Gomes - MG"
"1531","Comercinho - MG"
"1532","Conceição da Aparecida - MG"
"1533","Conceição da Barra de Minas - MG"
"1534","Conceição das Alagoas - MG"
"1535","Conceição das Pedras - MG"
"1536","Conceição de Ipanema - MG"
"1537","Conceição do Mato Dentro - MG"
"1538","Conceição do Pará - MG"
"1539","Conceição do Rio Verde - MG"
"1540","Conceição dos Ouros - MG"
"1541","Cônego Marinho - MG"
"1542","Confins - MG"
"1543","Congonhal - MG"
"1544","Congonhas - MG"
"1545","Congonhas do Norte - MG"
"1546","Conquista - MG"
"1547","Conselheiro Lafaiete - MG"
"1548","Conselheiro Pena - MG"
"1549","Consolação - MG"
"1550","Contagem - MG"
"1551","Coqueiral - MG"
"1552","Coração de Jesus - MG"
"1553","Cordisburgo - MG"
"1554","Cordislândia - MG"
"1555","Corinto - MG"
"1556","Coroaci - MG"
"1557","Coromandel - MG"
"1558","Coronel Fabriciano - MG"
"1559","Coronel Murta - MG"
"1560","Coronel Pacheco - MG"
"1561","Coronel Xavier Chaves - MG"
"1562","Córrego Danta - MG"
"1563","Córrego do Bom Jesus - MG"
"1564","Córrego Fundo - MG"
"1565","Córrego Novo - MG"
"1566","Couto de Magalhães de Minas - MG"
"1567","Crisólita - MG"
"1568","Cristais - MG"
"1569","Cristália - MG"
"1570","Cristiano Otoni - MG"
"1571","Cristina - MG"
"1572","Crucilândia - MG"
"1573","Cruzeiro da Fortaleza - MG"
"1574","Cruzília - MG"
"1575","Cuparaque - MG"
"1576","Curral de Dentro - MG"
"1577","Curvelo - MG"
"1578","Datas - MG"
"1579","Delfim Moreira - MG"
"1580","Delfinópolis - MG"
"1581","Delta - MG"
"1582","Descoberto - MG"
"1583","Desterro de Entre Rios - MG"
"1584","Desterro do Melo - MG"
"1585","Diamantina - MG"
"1586","Diogo de Vasconcelos - MG"
"1587","Dionísio - MG"
"1588","Divinésia - MG"
"1589","Divino - MG"
"1590","Divino das Laranjeiras - MG"
"1591","Divinolândia de Minas - MG"
"1592","Divinópolis - MG"
"1593","Divisa Alegre - MG"
"1594","Divisa Nova - MG"
"1595","Divisópolis - MG"
"1596","Dom Bosco - MG"
"1597","Dom Cavati - MG"
"1598","Dom Joaquim - MG"
"1599","Dom Silvério - MG"
"1600","Dom Viçoso - MG"
"1601","Dona Eusébia - MG"
"1602","Dores de Campos - MG"
"1603","Dores de Guanhães - MG"
"1604","Dores do Indaiá - MG"
"1605","Dores do Turvo - MG"
"1606","Doresópolis - MG"
"1607","Douradoquara - MG"
"1608","Durandé - MG"
"1609","Elói Mendes - MG"
"1610","Engenheiro Caldas - MG"
"1611","Engenheiro Navarro - MG"
"1612","Entre Folhas - MG"
"1613","Entre Rios de Minas - MG"
"1614","Ervália - MG"
"1615","Esmeraldas - MG"
"1616","Espera Feliz - MG"
"1617","Espinosa - MG"
"1618","Espírito Santo do Dourado - MG"
"1619","Estiva - MG"
"1620","Estrela Dalva - MG"
"1621","Estrela do Indaiá - MG"
"1622","Estrela do Sul - MG"
"1623","Eugenópolis - MG"
"1624","Ewbank da Câmara - MG"
"1625","Extrema - MG"
"1626","Fama - MG"
"1627","Faria Lemos - MG"
"1628","Felício dos Santos - MG"
"1629","Felisburgo - MG"
"1630","Felixlândia - MG"
"1631","Fernandes Tourinho - MG"
"1632","Ferros - MG"
"1633","Fervedouro - MG"
"1634","Florestal - MG"
"1635","Formiga - MG"
"1636","Formoso - MG"
"1637","Fortaleza de Minas - MG"
"1638","Fortuna de Minas - MG"
"1639","Francisco Badaró - MG"
"1640","Francisco Dumont - MG"
"1641","Francisco Sá - MG"
"1642","Franciscópolis - MG"
"1643","Frei Gaspar - MG"
"1644","Frei Inocêncio - MG"
"1645","Frei Lagonegro - MG"
"1646","Fronteira - MG"
"1647","Fronteira dos Vales - MG"
"1648","Fruta de Leite - MG"
"1649","Frutal - MG"
"1650","Funilândia - MG"
"1651","Galiléia - MG"
"1652","Gameleiras - MG"
"1653","Glaucilândia - MG"
"1654","Goiabeira - MG"
"1655","Goianá - MG"
"1656","Gonçalves - MG"
"1657","Gonzaga - MG"
"1658","Gouveia - MG"
"1659","Governador Valadares - MG"
"1660","Grão Mogol - MG"
"1661","Grupiara - MG"
"1662","Guanhães - MG"
"1663","Guapé - MG"
"1664","Guaraciaba - MG"
"1665","Guaraciama - MG"
"1666","Guaranésia - MG"
"1667","Guarani - MG"
"1668","Guarará - MG"
"1669","Guarda-Mor - MG"
"1670","Guaxupé - MG"
"1671","Guidoval - MG"
"1672","Guimarânia - MG"
"1673","Guiricema - MG"
"1674","Gurinhatã - MG"
"1675","Heliodora - MG"
"1676","Iapu - MG"
"1677","Ibertioga - MG"
"1678","Ibiá - MG"
"1679","Ibiaí - MG"
"1680","Ibiracatu - MG"
"1681","Ibiraci - MG"
"1682","Ibirité - MG"
"1683","Ibitiúra de Minas - MG"
"1684","Ibituruna - MG"
"1685","Icaraí de Minas - MG"
"1686","Igarapé - MG"
"1687","Igaratinga - MG"
"1688","Iguatama - MG"
"1689","Ijaci - MG"
"1690","Ilicínea - MG"
"1691","Imbé de Minas - MG"
"1692","Inconfidentes - MG"
"1693","Indaiabira - MG"
"1694","Indianópolis - MG"
"1695","Ingaí - MG"
"1696","Inhapim - MG"
"1697","Inhaúma - MG"
"1698","Inimutaba - MG"
"1699","Ipaba - MG"
"1700","Ipanema - MG"
"1701","Ipatinga - MG"
"1702","Ipiaçu - MG"
"1703","Ipuiúna - MG"
"1704","Iraí de Minas - MG"
"1705","Itabira - MG"
"1706","Itabirinha - MG"
"1707","Itabirito - MG"
"1708","Itacambira - MG"
"1709","Itacarambi - MG"
"1710","Itaguara - MG"
"1711","Itaipé - MG"
"1712","Itajubá - MG"
"1713","Itamarandiba - MG"
"1714","Itamarati de Minas - MG"
"1715","Itambacuri - MG"
"1716","Itambé do Mato Dentro - MG"
"1717","Itamogi - MG"
"1718","Itamonte - MG"
"1719","Itanhandu - MG"
"1720","Itanhomi - MG"
"1721","Itaobim - MG"
"1722","Itapagipe - MG"
"1723","Itapecerica - MG"
"1724","Itapeva - MG"
"1725","Itatiaiuçu - MG"
"1726","Itaú de Minas - MG"
"1727","Itaúna - MG"
"1728","Itaverava - MG"
"1729","Itinga - MG"
"1730","Itueta - MG"
"1731","Ituiutaba - MG"
"1732","Itumirim - MG"
"1733","Iturama - MG"
"1734","Itutinga - MG"
"1735","Jaboticatubas - MG"
"1736","Jacinto - MG"
"1737","Jacuí - MG"
"1738","Jacutinga - MG"
"1739","Jaguaraçu - MG"
"1740","Jaíba - MG"
"1741","Jampruca - MG"
"1742","Janaúba - MG"
"1743","Januária - MG"
"1744","Japaraíba - MG"
"1745","Japonvar - MG"
"1746","Jeceaba - MG"
"1747","Jenipapo de Minas - MG"
"1748","Jequeri - MG"
"1749","Jequitaí - MG"
"1750","Jequitibá - MG"
"1751","Jequitinhonha - MG"
"1752","Jesuânia - MG"
"1753","Joaíma - MG"
"1754","Joanésia - MG"
"1755","João Monlevade - MG"
"1756","João Pinheiro - MG"
"1757","Joaquim Felício - MG"
"1758","Jordânia - MG"
"1759","José Gonçalves de Minas - MG"
"1760","José Raydan - MG"
"1761","Josenópolis - MG"
"1762","Juatuba - MG"
"1763","Juiz de Fora - MG"
"1764","Juramento - MG"
"1765","Juruaia - MG"
"1766","Juvenília - MG"
"1767","Ladainha - MG"
"1768","Lagamar - MG"
"1769","Lagoa da Prata - MG"
"1770","Lagoa dos Patos - MG"
"1771","Lagoa Dourada - MG"
"1772","Lagoa Formosa - MG"
"1773","Lagoa Grande - MG"
"1774","Lagoa Santa - MG"
"1775","Lajinha - MG"
"1776","Lambari - MG"
"1777","Lamim - MG"
"1778","Laranjal - MG"
"1779","Lassance - MG"
"1780","Lavras - MG"
"1781","Leandro Ferreira - MG"
"1782","Leme do Prado - MG"
"1783","Leopoldina - MG"
"1784","Liberdade - MG"
"1785","Lima Duarte - MG"
"1786","Limeira do Oeste - MG"
"1787","Lontra - MG"
"1788","Luisburgo - MG"
"1789","Luislândia - MG"
"1790","Luminárias - MG"
"1791","Luz - MG"
"1792","Machacalis - MG"
"1793","Machado - MG"
"1794","Madre de Deus de Minas - MG"
"1795","Malacacheta - MG"
"1796","Mamonas - MG"
"1797","Manga - MG"
"1798","Manhuaçu - MG"
"1799","Manhumirim - MG"
"1800","Mantena - MG"
"1801","Mar de Espanha - MG"
"1802","Maravilhas - MG"
"1803","Maria da Fé - MG"
"1804","Mariana - MG"
"1805","Marilac - MG"
"1806","Mário Campos - MG"
"1807","Maripá de Minas - MG"
"1808","Marliéria - MG"
"1809","Marmelópolis - MG"
"1810","Martinho Campos - MG"
"1811","Martins Soares - MG"
"1812","Mata Verde - MG"
"1813","Materlândia - MG"
"1814","Mateus Leme - MG"
"1815","Mathias Lobato - MG"
"1816","Matias Barbosa - MG"
"1817","Matias Cardoso - MG"
"1818","Matipó - MG"
"1819","Mato Verde - MG"
"1820","Matozinhos - MG"
"1821","Matutina - MG"
"1822","Medeiros - MG"
"1823","Medina - MG"
"1824","Mendes Pimentel - MG"
"1825","Mercês - MG"
"1826","Mesquita - MG"
"1827","Minas Novas - MG"
"1828","Minduri - MG"
"1829","Mirabela - MG"
"1830","Miradouro - MG"
"1831","Miraí - MG"
"1832","Miravânia - MG"
"1833","Moeda - MG"
"1834","Moema - MG"
"1835","Monjolos - MG"
"1836","Monsenhor Paulo - MG"
"1837","Montalvânia - MG"
"1838","Monte Alegre de Minas - MG"
"1839","Monte Azul - MG"
"1840","Monte Belo - MG"
"1841","Monte Carmelo - MG"
"1842","Monte Formoso - MG"
"1843","Monte Santo de Minas - MG"
"1844","Monte Sião - MG"
"1845","Montes Claros - MG"
"1846","Montezuma - MG"
"1847","Morada Nova de Minas - MG"
"1848","Morro da Garça - MG"
"1849","Morro do Pilar - MG"
"1850","Munhoz - MG"
"1851","Muriaé - MG"
"1852","Mutum - MG"
"1853","Muzambinho - MG"
"1854","Nacip Raydan - MG"
"1855","Nanuque - MG"
"1856","Naque - MG"
"1857","Natalândia - MG"
"1858","Natércia - MG"
"1859","Nazareno - MG"
