"","Município - UF"
"221","Antônio Cardoso - BA"
"222","Antônio Gonçalves - BA"
"223","Aporá - BA"
"224","Apuarema - BA"
"225","Araças - BA"
"226","Aracatu - BA"
"227","Araci - BA"
"228","Aramari - BA"
"229","Arataca - BA"
"230","Aratuípe - BA"
"231","Aurelino Leal - BA"
"232","Baianópolis - BA"
"233","Baixa Grande - BA"
"234","Banzaê - BA"
"235","Barra - BA"
"236","Barra da Estiva - BA"
"237","Barra do Choça - BA"
"238","Barra do Mendes - BA"
"239","Barra do Rocha - BA"
"240","Barreiras - BA"
"241","Barro Alto - BA"
"242","Barro Preto - BA"
"243","Barrocas - BA"
"244","Belmonte - BA"
"245","Belo Campo - BA"
"246","Biritinga - BA"
"247","Boa Nova - BA"
"248","Boa Vista do Tupim - BA"
"249","Bom Jesus da Lapa - BA"
"250","Bom Jesus da Serra - BA"
"251","Boninal - BA"
"252","Bonito - BA"
"253","Boquira - BA"
"254","Botuporã - BA"
"255","Brejões - BA"
"256","Brejolândia - BA"
"257","Brotas de Macaúbas - BA"
"258","Brumado - BA"
"259","Buerarema - BA"
"260","Buritirama - BA"
"261","Caatiba - BA"
"262","Cabaceiras do Paraguaçu - BA"
"263","Cachoeira - BA"
"264","Caculé - BA"
"265","Caém - BA"
"266","Caetanos - BA"
"267","Caetité - BA"
"268","Cafarnaum - BA"
"269","Cairu - BA"
"270","Caldeirão Grande - BA"
"271","Camacan - BA"
"272","Camaçari - BA"
"273","Camamu - BA"
"274","Campo Alegre de Lourdes - BA"
"275","Campo Formoso - BA"
"276","Canápolis - BA"
"277","Canarana - BA"
"278","Canavieiras - BA"
"279","Candeal - BA"
"280","Candeias - BA"
"281","Candiba - BA"
"282","Cândido Sales - BA"
"283","Cansanção - BA"
"284","Canudos - BA"
"285","Capela do Alto Alegre - BA"
"286","Capim Grosso - BA"
"287","Caraíbas - BA"
"288","Caravelas - BA"
"289","Cardeal da Silva - BA"
"290","Carinhanha - BA"
"291","Casa Nova - BA"
"292","Castro Alves - BA"
"293","Catolândia - BA"
"294","Catu - BA"
"295","Caturama - BA"
"296","Central - BA"
"297","Chorrochó - BA"
"298","Cícero Dantas - BA"
"299","Cipó - BA"
"300","Coaraci - BA"
"301","Cocos - BA"
"302","Conceição da Feira - BA"
"303","Conceição do Almeida - BA"
"304","Conceição do Coité - BA"
"305","Conceição do Jacuípe - BA"
"306","Conde - BA"
"307","Condeúba - BA"
"308","Contendas do Sincorá - BA"
"309","Coração de Maria - BA"
"310","Cordeiros - BA"
"311","Coribe - BA"
"312","Coronel João Sá - BA"
"313","Correntina - BA"
"314","Cotegipe - BA"
"315","Cravolândia - BA"
"316","Crisópolis - BA"
"317","Cristópolis - BA"
"318","Cruz das Almas - BA"
"319","Curaçá - BA"
"320","Dário Meira - BA"
"321","Dias d'Ávila - BA"
"322","Dom Basílio - BA"
"323","Dom Macedo Costa - BA"
"324","Elísio Medrado - BA"
"325","Encruzilhada - BA"
"326","Entre Rios - BA"
"327","Érico Cardoso - BA"
"328","Esplanada - BA"
"329","Euclides da Cunha - BA"
"330","Eunápolis - BA"
"331","Fátima - BA"
"332","Feira da Mata - BA"
"333","Feira de Santana - BA"
"334","Filadélfia - BA"
"335","Firmino Alves - BA"
"336","Floresta Azul - BA"
"337","Formosa do Rio Preto - BA"
"338","Gandu - BA"
"339","Gavião - BA"
"340","Gentio do Ouro - BA"
"341","Glória - BA"
"342","Gongogi - BA"
"343","Governador Mangabeira - BA"
"344","Guajeru - BA"
"345","Guanambi - BA"
"346","Guaratinga - BA"
"347","Heliópolis - BA"
"348","Iaçu - BA"
"349","Ibiassucê - BA"
"350","Ibicaraí - BA"
"351","Ibicoara - BA"
"352","Ibicuí - BA"
"353","Ibipeba - BA"
"354","Ibipitanga - BA"
"355","Ibiquera - BA"
"356","Ibirapitanga - BA"
"357","Ibirapuã - BA"
"358","Ibirataia - BA"
"359","Ibitiara - BA"
"360","Ibititá - BA"
"361","Ibotirama - BA"
"362","Ichu - BA"
"363","Igaporã - BA"
"364","Igrapiúna - BA"
"365","Iguaí - BA"
"366","Ilhéus - BA"
"367","Inhambupe - BA"
"368","Ipecaetá - BA"
"369","Ipiaú - BA"
"370","Ipirá - BA"
"371","Ipupiara - BA"
"372","Irajuba - BA"
"373","Iramaia - BA"
"374","Iraquara - BA"
"375","Irará - BA"
"376","Irecê - BA"
"377","Itabela - BA"
"378","Itaberaba - BA"
"379","Itabuna - BA"
"380","Itacaré - BA"
"381","Itaeté - BA"
"382","Itagi - BA"
"383","Itagibá - BA"
"384","Itagimirim - BA"
"385","Itaguaçu da Bahia - BA"
"386","Itaju do Colônia - BA"
"387","Itajuípe - BA"
"388","Itamaraju - BA"
"389","Itamari - BA"
"390","Itambé - BA"
"391","Itanagra - BA"
"392","Itanhém - BA"
"393","Itaparica - BA"
"394","Itapé - BA"
"395","Itapebi - BA"
