"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas"
"126",1998,"SP","Deputado Estadual","PPB",11
"127",1998,"TO","Deputado Estadual","PPB",6
"128",1998,"AM","Deputado Estadual","PPS",1
"129",1998,"CE","Deputado Estadual","PPS",4
"130",1998,"ES","Deputado Estadual","PPS",4
"131",1998,"MG","Deputado Estadual","PPS",2
"132",1998,"MS","Deputado Estadual","PPS",2
"133",1998,"MT","Deputado Estadual","PPS",1
"134",1998,"PA","Deputado Estadual","PPS",1
"135",1998,"RJ","Deputado Estadual","PPS",1
"136",1998,"SE","Deputado Estadual","PPS",1
"137",1998,"SP","Deputado Estadual","PPS",3
"138",1998,"RJ","Deputado Estadual","PRONA",1
"139",1998,"SP","Deputado Estadual","PRONA",3
"140",1998,"MA","Deputado Estadual","PRP",2
"141",1998,"SP","Deputado Estadual","PRP",1
"142",1998,"MA","Deputado Estadual","PRTB",2
"143",1998,"AL","Deputado Estadual","PSB",3
"144",1998,"AP","Deputado Estadual","PSB",3
"145",1998,"BA","Deputado Estadual","PSB",4
"146",1998,"CE","Deputado Estadual","PSB",1
"147",1998,"ES","Deputado Estadual","PSB",3
"148",1998,"MA","Deputado Estadual","PSB",1
"149",1998,"MG","Deputado Estadual","PSB",5
"150",1998,"MT","Deputado Estadual","PSB",1
"151",1998,"PA","Deputado Estadual","PSB",1
"152",1998,"PE","Deputado Estadual","PSB",12
"153",1998,"PI","Deputado Estadual","PSB",1
"154",1998,"PR","Deputado Estadual","PSB",2
"155",1998,"RJ","Deputado Estadual","PSB",3
"156",1998,"RN","Deputado Estadual","PSB",2
"157",1998,"RS","Deputado Estadual","PSB",1
"158",1998,"SE","Deputado Estadual","PSB",2
"159",1998,"SP","Deputado Estadual","PSB",2
"160",1998,"AM","Deputado Estadual","PSC",1
"161",1998,"BA","Deputado Estadual","PSC",3
"162",1998,"CE","Deputado Estadual","PSC",1
"163",1998,"GO","Deputado Estadual","PSC",1
"164",1998,"MA","Deputado Estadual","PSC",1
"165",1998,"MG","Deputado Estadual","PSC",1
"166",1998,"PE","Deputado Estadual","PSC",2
"167",1998,"PR","Deputado Estadual","PSC",1
"168",1998,"RJ","Deputado Estadual","PSC",2
"169",1998,"RO","Deputado Estadual","PSC",2
"170",1998,"SE","Deputado Estadual","PSC",1
"171",1998,"AL","Deputado Estadual","PSD",3
"172",1998,"AP","Deputado Estadual","PSD",3
"173",1998,"GO","Deputado Estadual","PSD",4
"174",1998,"MA","Deputado Estadual","PSD",7
"175",1998,"MG","Deputado Estadual","PSD",4
"176",1998,"PA","Deputado Estadual","PSD",2
"177",1998,"AC","Deputado Estadual","PSDB",2
"178",1998,"AL","Deputado Estadual","PSDB",4
"179",1998,"AM","Deputado Estadual","PSDB",1
"180",1998,"AP","Deputado Estadual","PSDB",1
"181",1998,"BA","Deputado Estadual","PSDB",4
"182",1998,"CE","Deputado Estadual","PSDB",21
"183",1998,"ES","Deputado Estadual","PSDB",4
"184",1998,"GO","Deputado Estadual","PSDB",6
"185",1998,"MA","Deputado Estadual","PSDB",1
"186",1998,"MG","Deputado Estadual","PSDB",15
"187",1998,"MS","Deputado Estadual","PSDB",7
"188",1998,"MT","Deputado Estadual","PSDB",6
"189",1998,"PA","Deputado Estadual","PSDB",8
"190",1998,"PB","Deputado Estadual","PSDB",5
"191",1998,"PE","Deputado Estadual","PSDB",6
"192",1998,"PI","Deputado Estadual","PSDB",4
"193",1998,"PR","Deputado Estadual","PSDB",6
"194",1998,"RJ","Deputado Estadual","PSDB",15
"195",1998,"RN","Deputado Estadual","PSDB",1
"196",1998,"RO","Deputado Estadual","PSDB",3
"197",1998,"RR","Deputado Estadual","PSDB",1
"198",1998,"RS","Deputado Estadual","PSDB",2
"199",1998,"SC","Deputado Estadual","PSDB",3
"200",1998,"SE","Deputado Estadual","PSDB",4
"201",1998,"SP","Deputado Estadual","PSDB",21
"202",1998,"AM","Deputado Estadual","PSDC",2
"203",1998,"PE","Deputado Estadual","PSDC",1
"204",1998,"AL","Deputado Estadual","PSL",3
"205",1998,"AP","Deputado Estadual","PSL",1
"206",1998,"PB","Deputado Estadual","PSL",1
"207",1998,"PE","Deputado Estadual","PSL",1
"208",1998,"RR","Deputado Estadual","PSL",4
"209",1998,"MG","Deputado Estadual","PSN",1
"210",1998,"GO","Deputado Estadual","PST",2
"211",1998,"MA","Deputado Estadual","PST",1
"212",1998,"MG","Deputado Estadual","PST",1
"213",1998,"AC","Deputado Estadual","PT",3
"214",1998,"AL","Deputado Estadual","PT",2
"215",1998,"AM","Deputado Estadual","PT",1
"216",1998,"AP","Deputado Estadual","PT",2
"217",1998,"BA","Deputado Estadual","PT",6
"218",1998,"CE","Deputado Estadual","PT",3
"219",1998,"ES","Deputado Estadual","PT",1
"220",1998,"GO","Deputado Estadual","PT",1
"221",1998,"MA","Deputado Estadual","PT",1
"222",1998,"MG","Deputado Estadual","PT",5
"223",1998,"MS","Deputado Estadual","PT",1
"224",1998,"MT","Deputado Estadual","PT",2
"225",1998,"PA","Deputado Estadual","PT",4
"226",1998,"PB","Deputado Estadual","PT",3
"227",1998,"PE","Deputado Estadual","PT",3
"228",1998,"PI","Deputado Estadual","PT",1
"229",1998,"PR","Deputado Estadual","PT",4
"230",1998,"RJ","Deputado Estadual","PT",7
"231",1998,"RN","Deputado Estadual","PT",1
"232",1998,"RO","Deputado Estadual","PT",2
"233",1998,"RS","Deputado Estadual","PT",12
"234",1998,"SC","Deputado Estadual","PT",5
"235",1998,"SE","Deputado Estadual","PT",1
"236",1998,"SP","Deputado Estadual","PT",14
"237",1998,"AL","Deputado Estadual","PT do B",1
"238",1998,"BA","Deputado Estadual","PT do B",1
"239",1998,"MA","Deputado Estadual","PT do B",1
"240",1998,"RJ","Deputado Estadual","PT do B",2
"241",1998,"AL","Deputado Estadual","PTB",7
"242",1998,"AM","Deputado Estadual","PTB",5
"243",1998,"AP","Deputado Estadual","PTB",1
"244",1998,"BA","Deputado Estadual","PTB",5
"245",1998,"CE","Deputado Estadual","PTB",2
"246",1998,"ES","Deputado Estadual","PTB",4
"247",1998,"MA","Deputado Estadual","PTB",1
"248",1998,"MG","Deputado Estadual","PTB",6
"249",1998,"MS","Deputado Estadual","PTB",4
"250",1998,"MT","Deputado Estadual","PTB",2
"251",1998,"PA","Deputado Estadual","PTB",3
"252",1998,"PE","Deputado Estadual","PTB",2
"253",1998,"PR","Deputado Estadual","PTB",11
"254",1998,"RJ","Deputado Estadual","PTB",2
"255",1998,"RN","Deputado Estadual","PTB",1
"256",1998,"RO","Deputado Estadual","PTB",2
"257",1998,"RR","Deputado Estadual","PTB",2
"258",1998,"RS","Deputado Estadual","PTB",10
"259",1998,"SC","Deputado Estadual","PTB",1
"260",1998,"SE","Deputado Estadual","PTB",2
"261",1998,"SP","Deputado Estadual","PTB",5
"262",1998,"TO","Deputado Estadual","PTB",1
"263",1998,"BA","Deputado Estadual","PV",1
"264",1998,"PB","Deputado Estadual","PV",1
"265",1998,"RJ","Deputado Estadual","PV",1
"266",1998,"SP","Deputado Estadual","PV",1
"267",2002,"RR","Deputado Estadual","PAN",1
"268",2002,"AC","Deputado Estadual","PC do B",2
"269",2002,"AM","Deputado Estadual","PC do B",1
"270",2002,"AP","Deputado Estadual","PC do B",1
"271",2002,"BA","Deputado Estadual","PC do B",3
"272",2002,"CE","Deputado Estadual","PC do B",1
"273",2002,"GO","Deputado Estadual","PC do B",1
"274",2002,"MG","Deputado Estadual","PC do B",1
"275",2002,"PA","Deputado Estadual","PC do B",1
"276",2002,"PE","Deputado Estadual","PC do B",1
"277",2002,"RJ","Deputado Estadual","PC do B",1
"278",2002,"RS","Deputado Estadual","PC do B",1
"279",2002,"SP","Deputado Estadual","PC do B",2
"280",2002,"AL","Deputado Estadual","PDT",1
"281",2002,"AM","Deputado Estadual","PDT",1
"282",2002,"AP","Deputado Estadual","PDT",3
"283",2002,"BA","Deputado Estadual","PDT",2
"284",2002,"CE","Deputado Estadual","PDT",1
"285",2002,"ES","Deputado Estadual","PDT",2
"286",2002,"GO","Deputado Estadual","PDT",1
"287",2002,"MA","Deputado Estadual","PDT",5
"288",2002,"MG","Deputado Estadual","PDT",5
"289",2002,"MS","Deputado Estadual","PDT",3
"290",2002,"PA","Deputado Estadual","PDT",2
"291",2002,"PB","Deputado Estadual","PDT",1
"292",2002,"PE","Deputado Estadual","PDT",3
"293",2002,"PI","Deputado Estadual","PDT",2
"294",2002,"PR","Deputado Estadual","PDT",6
"295",2002,"RJ","Deputado Estadual","PDT",4
"296",2002,"RN","Deputado Estadual","PDT",1
"297",2002,"RO","Deputado Estadual","PDT",3
"298",2002,"RR","Deputado Estadual","PDT",1
"299",2002,"RS","Deputado Estadual","PDT",7
"300",2002,"SE","Deputado Estadual","PDT",3
"301",2002,"SP","Deputado Estadual","PDT",4
"302",2002,"AC","Deputado Estadual","PFL",1
"303",2002,"AL","Deputado Estadual","PFL",1
"304",2002,"AM","Deputado Estadual","PFL",5
"305",2002,"BA","Deputado Estadual","PFL",16
"306",2002,"CE","Deputado Estadual","PFL",1
"307",2002,"ES","Deputado Estadual","PFL",4
"308",2002,"GO","Deputado Estadual","PFL",3
"309",2002,"MA","Deputado Estadual","PFL",14
"310",2002,"MG","Deputado Estadual","PFL",5
"311",2002,"MS","Deputado Estadual","PFL",1
"312",2002,"MT","Deputado Estadual","PFL",3
"313",2002,"PB","Deputado Estadual","PFL",4
"314",2002,"PE","Deputado Estadual","PFL",7
"315",2002,"PI","Deputado Estadual","PFL",9
"316",2002,"PR","Deputado Estadual","PFL",7
"317",2002,"RJ","Deputado Estadual","PFL",4
"318",2002,"RN","Deputado Estadual","PFL",4
"319",2002,"RO","Deputado Estadual","PFL",2
"320",2002,"RR","Deputado Estadual","PFL",2
"321",2002,"RS","Deputado Estadual","PFL",1
"322",2002,"SC","Deputado Estadual","PFL",8
"323",2002,"SE","Deputado Estadual","PFL",3
"324",2002,"SP","Deputado Estadual","PFL",6
"325",2002,"TO","Deputado Estadual","PFL",7
"326",2002,"MA","Deputado Estadual","PGT",1
"327",2002,"SP","Deputado Estadual","PGT",1
"328",2002,"CE","Deputado Estadual","PHS",2
"329",2002,"AC","Deputado Estadual","PL",2
"330",2002,"AL","Deputado Estadual","PL",3
"331",2002,"AM","Deputado Estadual","PL",5
"332",2002,"AP","Deputado Estadual","PL",2
"333",2002,"BA","Deputado Estadual","PL",4
"334",2002,"CE","Deputado Estadual","PL",3
"335",2002,"ES","Deputado Estadual","PL",2
"336",2002,"GO","Deputado Estadual","PL",1
"337",2002,"MA","Deputado Estadual","PL",1
"338",2002,"MG","Deputado Estadual","PL",7
"339",2002,"MS","Deputado Estadual","PL",3
"340",2002,"MT","Deputado Estadual","PL",2
"341",2002,"PA","Deputado Estadual","PL",5
"342",2002,"PB","Deputado Estadual","PL",1
"343",2002,"PE","Deputado Estadual","PL",2
"344",2002,"PI","Deputado Estadual","PL",1
"345",2002,"PR","Deputado Estadual","PL",2
"346",2002,"RJ","Deputado Estadual","PL",4
"347",2002,"RN","Deputado Estadual","PL",1
"348",2002,"RO","Deputado Estadual","PL",2
"349",2002,"SC","Deputado Estadual","PL",1
"350",2002,"SE","Deputado Estadual","PL",2
"351",2002,"SP","Deputado Estadual","PL",2
"352",2002,"TO","Deputado Estadual","PL",1
"353",2002,"AC","Deputado Estadual","PMDB",2
"354",2002,"AM","Deputado Estadual","PMDB",3
"355",2002,"AP","Deputado Estadual","PMDB",4
"356",2002,"BA","Deputado Estadual","PMDB",3
"357",2002,"CE","Deputado Estadual","PMDB",5
"358",2002,"ES","Deputado Estadual","PMDB",2
"359",2002,"GO","Deputado Estadual","PMDB",9
"360",2002,"MA","Deputado Estadual","PMDB",3
"361",2002,"MG","Deputado Estadual","PMDB",9
"362",2002,"MS","Deputado Estadual","PMDB",2
"363",2002,"MT","Deputado Estadual","PMDB",3
"364",2002,"PA","Deputado Estadual","PMDB",8
"365",2002,"PB","Deputado Estadual","PMDB",9
"366",2002,"PE","Deputado Estadual","PMDB",7
"367",2002,"PI","Deputado Estadual","PMDB",6
"368",2002,"PR","Deputado Estadual","PMDB",8
"369",2002,"RJ","Deputado Estadual","PMDB",12
"370",2002,"RN","Deputado Estadual","PMDB",4
"371",2002,"RO","Deputado Estadual","PMDB",3
"372",2002,"RR","Deputado Estadual","PMDB",1
"373",2002,"RS","Deputado Estadual","PMDB",9
"374",2002,"SC","Deputado Estadual","PMDB",7
"375",2002,"SE","Deputado Estadual","PMDB",3
"376",2002,"SP","Deputado Estadual","PMDB",4
"377",2002,"TO","Deputado Estadual","PMDB",4
"378",2002,"AC","Deputado Estadual","PMN",2
"379",2002,"AL","Deputado Estadual","PMN",1
"380",2002,"ES","Deputado Estadual","PMN",1
"381",2002,"MS","Deputado Estadual","PMN",1
"382",2002,"MT","Deputado Estadual","PMN",1
"383",2002,"SE","Deputado Estadual","PMN",3
"384",2002,"AC","Deputado Estadual","PPB",2
"385",2002,"BA","Deputado Estadual","PPB",7
"386",2002,"CE","Deputado Estadual","PPB",2
"387",2002,"ES","Deputado Estadual","PPB",4
"388",2002,"GO","Deputado Estadual","PPB",4
"389",2002,"MA","Deputado Estadual","PPB",1
"390",2002,"MG","Deputado Estadual","PPB",6
"391",2002,"MT","Deputado Estadual","PPB",1
"392",2002,"PA","Deputado Estadual","PPB",2
"393",2002,"PB","Deputado Estadual","PPB",2
"394",2002,"PE","Deputado Estadual","PPB",3
"395",2002,"PI","Deputado Estadual","PPB",4
"396",2002,"PR","Deputado Estadual","PPB",4
"397",2002,"RJ","Deputado Estadual","PPB",6
"398",2002,"RN","Deputado Estadual","PPB",8
"399",2002,"RO","Deputado Estadual","PPB",2
"400",2002,"RR","Deputado Estadual","PPB",1
"401",2002,"RS","Deputado Estadual","PPB",10
"402",2002,"SC","Deputado Estadual","PPB",10
"403",2002,"SE","Deputado Estadual","PPB",1
"404",2002,"SP","Deputado Estadual","PPB",7
"405",2002,"TO","Deputado Estadual","PPB",4
"406",2002,"AC","Deputado Estadual","PPS",2
"407",2002,"AL","Deputado Estadual","PPS",2
"408",2002,"AM","Deputado Estadual","PPS",1
"409",2002,"BA","Deputado Estadual","PPS",1
"410",2002,"CE","Deputado Estadual","PPS",4
"411",2002,"ES","Deputado Estadual","PPS",2
"412",2002,"GO","Deputado Estadual","PPS",1
"413",2002,"MA","Deputado Estadual","PPS",1
"414",2002,"MG","Deputado Estadual","PPS",2
"415",2002,"MS","Deputado Estadual","PPS",1
"416",2002,"MT","Deputado Estadual","PPS",2
"417",2002,"PA","Deputado Estadual","PPS",1
"418",2002,"PB","Deputado Estadual","PPS",1
"419",2002,"PE","Deputado Estadual","PPS",1
"420",2002,"PR","Deputado Estadual","PPS",3
"421",2002,"RJ","Deputado Estadual","PPS",1
"422",2002,"RN","Deputado Estadual","PPS",1
"423",2002,"RO","Deputado Estadual","PPS",1
"424",2002,"RR","Deputado Estadual","PPS",1
"425",2002,"RS","Deputado Estadual","PPS",3
"426",2002,"SE","Deputado Estadual","PPS",3
"427",2002,"SP","Deputado Estadual","PPS",5
"428",2002,"TO","Deputado Estadual","PPS",1
"429",2002,"AL","Deputado Estadual","PRONA",1
"430",2002,"RJ","Deputado Estadual","PRONA",2
"431",2002,"SP","Deputado Estadual","PRONA",4
"432",2002,"AL","Deputado Estadual","PRP",1
"433",2002,"BA","Deputado Estadual","PRP",1
"434",2002,"GO","Deputado Estadual","PRP",1
"435",2002,"PR","Deputado Estadual","PRP",1
"436",2002,"RR","Deputado Estadual","PRP",1
"437",2002,"SP","Deputado Estadual","PRP",1
"438",2002,"AM","Deputado Estadual","PRTB",1
"439",2002,"MA","Deputado Estadual","PRTB",1
"440",2002,"MG","Deputado Estadual","PRTB",2
"441",2002,"AC","Deputado Estadual","PSB",1
"442",2002,"AL","Deputado Estadual","PSB",4
"443",2002,"AP","Deputado Estadual","PSB",4
"444",2002,"BA","Deputado Estadual","PSB",2
"445",2002,"CE","Deputado Estadual","PSB",2
"446",2002,"ES","Deputado Estadual","PSB",2
"447",2002,"GO","Deputado Estadual","PSB",1
"448",2002,"MA","Deputado Estadual","PSB",1
"449",2002,"MG","Deputado Estadual","PSB",3
"450",2002,"MT","Deputado Estadual","PSB",2
"451",2002,"PA","Deputado Estadual","PSB",2
"452",2002,"PB","Deputado Estadual","PSB",2
"453",2002,"PE","Deputado Estadual","PSB",5
"454",2002,"PR","Deputado Estadual","PSB",3
"455",2002,"RJ","Deputado Estadual","PSB",12
"456",2002,"RN","Deputado Estadual","PSB",2
"457",2002,"RO","Deputado Estadual","PSB",1
"458",2002,"RR","Deputado Estadual","PSB",1
"459",2002,"RS","Deputado Estadual","PSB",2
"460",2002,"SE","Deputado Estadual","PSB",1
"461",2002,"SP","Deputado Estadual","PSB",6
"462",2002,"AC","Deputado Estadual","PSC",1
"463",2002,"AM","Deputado Estadual","PSC",1
"464",2002,"BA","Deputado Estadual","PSC",1
"465",2002,"ES","Deputado Estadual","PSC",1
"466",2002,"MA","Deputado Estadual","PSC",1
"467",2002,"PE","Deputado Estadual","PSC",2
"468",2002,"PR","Deputado Estadual","PSC",1
"469",2002,"RJ","Deputado Estadual","PSC",3
"470",2002,"SE","Deputado Estadual","PSC",2
