"","Ano da eleição","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"1",1998,"Deputado Estadual",21604975,6917836,7106865,100399550,"35.629.676",35.49
"2",2002,"Deputado Estadual",20413017,4414683,2715524,115167305,"27.543.224",23.92
"3",2006,"Deputado Estadual",21047795,6268713,3998733,125826156,"31.315.241",24.89
"4",2010,"Deputado Estadual",24484671,6469514,4009976,135522388,"34.964.161",25.8
"5",2014,"Deputado Estadual",27477609,8836348,6225470,142384189,"42.539.427",29.88
"6",2018,"Deputado Estadual",29638959,7277599,9797825,146750529,"46.714.383",31.83
