"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"91",1998,"PR","Deputado Federal","PPB",5,60,0.116959064327485
"92",1998,"RJ","Deputado Federal","PPB",6,60,0.116959064327485
"93",1998,"RN","Deputado Federal","PPB",1,60,0.116959064327485
"94",1998,"RR","Deputado Federal","PPB",4,60,0.116959064327485
"95",1998,"RS","Deputado Federal","PPB",5,60,0.116959064327485
"96",1998,"SC","Deputado Federal","PPB",4,60,0.116959064327485
"97",1998,"SE","Deputado Federal","PPB",1,60,0.116959064327485
"98",1998,"SP","Deputado Federal","PPB",12,60,0.116959064327485
"99",1998,"TO","Deputado Federal","PPB",2,60,0.116959064327485
"100",1998,"AL","Deputado Federal","PPS",1,3,0.00584795321637427
"101",1998,"SE","Deputado Federal","PPS",1,3,0.00584795321637427
"102",1998,"SP","Deputado Federal","PPS",1,3,0.00584795321637427
"103",1998,"SP","Deputado Federal","PRONA",1,1,0.00194931773879142
"104",1998,"AL","Deputado Federal","PSB",1,18,0.0350877192982456
"105",1998,"AP","Deputado Federal","PSB",1,18,0.0350877192982456
"106",1998,"CE","Deputado Federal","PSB",1,18,0.0350877192982456
"107",1998,"MA","Deputado Federal","PSB",1,18,0.0350877192982456
"108",1998,"PE","Deputado Federal","PSB",8,18,0.0350877192982456
"109",1998,"RJ","Deputado Federal","PSB",2,18,0.0350877192982456
"110",1998,"RS","Deputado Federal","PSB",1,18,0.0350877192982456
"111",1998,"SE","Deputado Federal","PSB",1,18,0.0350877192982456
"112",1998,"SP","Deputado Federal","PSB",2,18,0.0350877192982456
"113",1998,"MA","Deputado Federal","PSC",1,2,0.00389863547758285
"114",1998,"RJ","Deputado Federal","PSC",1,2,0.00389863547758285
"115",1998,"AL","Deputado Federal","PSD",1,3,0.00584795321637427
"116",1998,"GO","Deputado Federal","PSD",1,3,0.00584795321637427
"117",1998,"MA","Deputado Federal","PSD",1,3,0.00584795321637427
"118",1998,"AL","Deputado Federal","PSDB",2,99,0.192982456140351
"119",1998,"AM","Deputado Federal","PSDB",1,99,0.192982456140351
"120",1998,"AP","Deputado Federal","PSDB",3,99,0.192982456140351
"121",1998,"BA","Deputado Federal","PSDB",6,99,0.192982456140351
"122",1998,"CE","Deputado Federal","PSDB",12,99,0.192982456140351
"123",1998,"DF","Deputado Federal","PSDB",1,99,0.192982456140351
"124",1998,"ES","Deputado Federal","PSDB",3,99,0.192982456140351
"125",1998,"GO","Deputado Federal","PSDB",2,99,0.192982456140351
"126",1998,"MA","Deputado Federal","PSDB",3,99,0.192982456140351
"127",1998,"MG","Deputado Federal","PSDB",14,99,0.192982456140351
"128",1998,"MS","Deputado Federal","PSDB",2,99,0.192982456140351
