"","ANO_ELEICAO","UF","SIGLA_PARTIDO","VOT_PART_UF"
"163",1998,"ES","PPB",59445
"164",1998,"ES","PPS",17403
"165",1998,"ES","PRN",670
"166",1998,"ES","PRONA",1531
"167",1998,"ES","PRP",1004
"168",1998,"ES","PSB",47961
"169",1998,"ES","PSC",20442
"170",1998,"ES","PSD",2312
"171",1998,"ES","PSDB",298737
"172",1998,"ES","PSDC",52
"173",1998,"ES","PSL",191
"174",1998,"ES","PSN",14061
"175",1998,"ES","PST",414
"176",1998,"ES","PT",87555
"177",1998,"ES","PT do B",244
"178",1998,"ES","PTB",174308
"179",1998,"ES","PTN",540
"180",1998,"ES","PV",936
"181",1998,"GO","PAN",1084
"182",1998,"GO","PC do B",39184
"183",1998,"GO","PDT",38472
"184",1998,"GO","PFL",154166
"185",1998,"GO","PL",179656
"186",1998,"GO","PMDB",847471
"187",1998,"GO","PPB",76966
"188",1998,"GO","PPS",5746
"189",1998,"GO","PRONA",5505
"190",1998,"GO","PRTB",605
"191",1998,"GO","PSB",6928
"192",1998,"GO","PSC",1574
"193",1998,"GO","PSD",90134
"194",1998,"GO","PSDB",235530
"195",1998,"GO","PSDC",286
"196",1998,"GO","PST",6692
"197",1998,"GO","PSTU",3499
"198",1998,"GO","PT",106108
"199",1998,"GO","PTB",52567
"200",1998,"GO","PV",2360
"201",1998,"MA","PC do B",3993
"202",1998,"MA","PCB",2025
"203",1998,"MA","PDT",107066
"204",1998,"MA","PFL",459116
"205",1998,"MA","PL",134886
"206",1998,"MA","PMDB",198664
"207",1998,"MA","PMN",9586
"208",1998,"MA","PPB",46324
"209",1998,"MA","PPS",5110
"210",1998,"MA","PRN",237
"211",1998,"MA","PRONA",1414
"212",1998,"MA","PRP",29773
"213",1998,"MA","PRTB",7613
"214",1998,"MA","PSB",49267
"215",1998,"MA","PSC",57344
"216",1998,"MA","PSD",93738
"217",1998,"MA","PSDB",235527
"218",1998,"MA","PSDC",417
"219",1998,"MA","PSL",354
"220",1998,"MA","PSN",1667
"221",1998,"MA","PST",1977
"222",1998,"MA","PSTU",2215
"223",1998,"MA","PT",75934
"224",1998,"MA","PT do B",3143
"225",1998,"MA","PTB",2255
"226",1998,"MA","PV",24593
"227",1998,"MG","PAN",6509
"228",1998,"MG","PC do B",44263
"229",1998,"MG","PCB",7398
"230",1998,"MG","PCO",4193
"231",1998,"MG","PDT",293392
"232",1998,"MG","PFL",1075602
"233",1998,"MG","PL",376471
"234",1998,"MG","PMDB",1196138
"235",1998,"MG","PMN",102522
"236",1998,"MG","PPB",618762
"237",1998,"MG","PPS",68271
"238",1998,"MG","PRN",5456
"239",1998,"MG","PRONA",16738
"240",1998,"MG","PRP",6499
"241",1998,"MG","PRTB",2702
"242",1998,"MG","PSB",59805
"243",1998,"MG","PSC",11194
"244",1998,"MG","PSD",89601
"245",1998,"MG","PSDB",1758528
"246",1998,"MG","PSL",3412
"247",1998,"MG","PSN",18072
"248",1998,"MG","PST",115391
"249",1998,"MG","PSTU",9548
"250",1998,"MG","PT",828238
"251",1998,"MG","PT do B",5040
"252",1998,"MG","PTB",466072
"253",1998,"MG","PTN",20919
"254",1998,"MG","PV",12187
"255",1998,"MS","PAN",126
"256",1998,"MS","PC do B",514
"257",1998,"MS","PDT",14251
"258",1998,"MS","PFL",127703
"259",1998,"MS","PGT",26
"260",1998,"MS","PL",17939
"261",1998,"MS","PMDB",195461
"262",1998,"MS","PMN",1481
"263",1998,"MS","PPB",79437
"264",1998,"MS","PPS",13633
"265",1998,"MS","PRN",2587
"266",1998,"MS","PRONA",2443
"267",1998,"MS","PRP",1149
"268",1998,"MS","PRTB",121
"269",1998,"MS","PSB",2731
"270",1998,"MS","PSC",406
"271",1998,"MS","PSD",759
"272",1998,"MS","PSDB",136962
"273",1998,"MS","PSN",709
"274",1998,"MS","PST",797
"275",1998,"MS","PSTU",757
"276",1998,"MS","PT",146845
"277",1998,"MS","PT do B",42
"278",1998,"MS","PTB",50254
"279",1998,"MS","PTN",542
"280",1998,"MS","PV",274
"281",1998,"MT","PC do B",2177
"282",1998,"MT","PDT",6291
"283",1998,"MT","PFL",138111
"284",1998,"MT","PL",84833
"285",1998,"MT","PMDB",123731
"286",1998,"MT","PMN",3799
"287",1998,"MT","PPB",10512
"288",1998,"MT","PPS",1718
"289",1998,"MT","PRONA",1722
"290",1998,"MT","PRP",872
"291",1998,"MT","PRTB",449
"292",1998,"MT","PSB",1200
"293",1998,"MT","PSC",1169
"294",1998,"MT","PSD",1014
"295",1998,"MT","PSDB",306862
"296",1998,"MT","PT",39422
"297",1998,"MT","PTB",95194
"298",1998,"MT","PV",2385
"299",1998,"PA","PC do B",18663
"300",1998,"PA","PCB",780
"301",1998,"PA","PDT",120248
"302",1998,"PA","PFL",290816
"303",1998,"PA","PL",37576
"304",1998,"PA","PMDB",371522
"305",1998,"PA","PMN",3286
"306",1998,"PA","PPB",122893
"307",1998,"PA","PPS",25797
"308",1998,"PA","PRONA",10238
"309",1998,"PA","PSB",38004
"310",1998,"PA","PSC",13123
"311",1998,"PA","PSD",3875
"312",1998,"PA","PSDB",361208
"313",1998,"PA","PSTU",4055
"314",1998,"PA","PT",214324
"315",1998,"PA","PT do B",216
"316",1998,"PA","PTB",85289
"317",1998,"PA","PV",635
"318",1998,"PB","PC do B",12803
"319",1998,"PB","PDT",66688
"320",1998,"PB","PFL",244109
"321",1998,"PB","PL",1847
"322",1998,"PB","PMDB",481917
"323",1998,"PB","PPB",59681
"324",1998,"PB","PRN",405
"325",1998,"PB","PRONA",1886
"326",1998,"PB","PRP",1179
"327",1998,"PB","PSB",36056
"328",1998,"PB","PSDB",104218
"329",1998,"PB","PSDC",80
"330",1998,"PB","PSL",2183
"331",1998,"PB","PSTU",2544
"332",1998,"PB","PT",90690
"333",1998,"PB","PTB",80745
"334",1998,"PB","PV",1715
"335",1998,"PE","PAN",850
"336",1998,"PE","PC do B",31031
"337",1998,"PE","PCB",2146
"338",1998,"PE","PDT",95930
"339",1998,"PE","PFL",748547
"340",1998,"PE","PGT",1420
"341",1998,"PE","PL",4556
"342",1998,"PE","PMDB",457434
"343",1998,"PE","PMN",9028
"344",1998,"PE","PPB",215464
"345",1998,"PE","PPS",21734
"346",1998,"PE","PRN",693
"347",1998,"PE","PRONA",8228
"348",1998,"PE","PRP",5902
"349",1998,"PE","PRTB",2078
"350",1998,"PE","PSB",723254
"351",1998,"PE","PSC",46712
"352",1998,"PE","PSD",4804
"353",1998,"PE","PSDB",194618
"354",1998,"PE","PSDC",857
"355",1998,"PE","PSL",89527
"356",1998,"PE","PSN",1932
"357",1998,"PE","PST",1482
"358",1998,"PE","PSTU",4633
"359",1998,"PE","PT",164929
"360",1998,"PE","PT do B",847
"361",1998,"PE","PTB",49647
"362",1998,"PE","PTN",678
"363",1998,"PE","PV",1248
"364",1998,"PI","PAN",172
"365",1998,"PI","PC do B",8779
"366",1998,"PI","PDT",8632
"367",1998,"PI","PFL",360443
"368",1998,"PI","PL",1524
"369",1998,"PI","PMDB",265711
"370",1998,"PI","PMN",1151
"371",1998,"PI","PPB",51362
"372",1998,"PI","PPS",65897
"373",1998,"PI","PRONA",18067
"374",1998,"PI","PRP",2714
"375",1998,"PI","PSB",4990
"376",1998,"PI","PSDB",88175
"377",1998,"PI","PSDC",267
"378",1998,"PI","PSL",118
"379",1998,"PI","PSTU",1043
"380",1998,"PI","PT",102540
"381",1998,"PI","PT do B",617
"382",1998,"PI","PTB",6043
"383",1998,"PI","PV",118
"384",1998,"PR","PAN",2323
"385",1998,"PR","PC do B",30919
"386",1998,"PR","PCB",1357
"387",1998,"PR","PDT",200333
"388",1998,"PR","PFL",881378
"389",1998,"PR","PL",6537
"390",1998,"PR","PMDB",500040
"391",1998,"PR","PMN",5984
"392",1998,"PR","PPB",658809
"393",1998,"PR","PPS",8231
"394",1998,"PR","PRN",754
"395",1998,"PR","PRONA",46798
"396",1998,"PR","PRP",3369
"397",1998,"PR","PRTB",999
"398",1998,"PR","PSB",55156
"399",1998,"PR","PSC",25295
"400",1998,"PR","PSD",2090
"401",1998,"PR","PSDB",621837
"402",1998,"PR","PSDC",332
"403",1998,"PR","PSL",1646
"404",1998,"PR","PSN",33954
"405",1998,"PR","PST",22266
"406",1998,"PR","PT",375351
"407",1998,"PR","PT do B",774
"408",1998,"PR","PTB",484788
"409",1998,"PR","PTN",1950
"410",1998,"PR","PV",4079
"411",1998,"RJ","PAN",3060
"412",1998,"RJ","PC do B",122007
"413",1998,"RJ","PCB",14522
"414",1998,"RJ","PDT",1024183
"415",1998,"RJ","PFL",1268329
"416",1998,"RJ","PGT",1894
"417",1998,"RJ","PL",79341
"418",1998,"RJ","PMDB",300084
"419",1998,"RJ","PMN",44210
"420",1998,"RJ","PPB",925078
"421",1998,"RJ","PPS",100769
"422",1998,"RJ","PRN",12433
"423",1998,"RJ","PRONA",84035
"424",1998,"RJ","PRP",36874
"425",1998,"RJ","PRTB",9379
"426",1998,"RJ","PSB",310623
"427",1998,"RJ","PSC",117661
"428",1998,"RJ","PSD",15289
"429",1998,"RJ","PSDB",1348041
"430",1998,"RJ","PSDC",18053
"431",1998,"RJ","PSL",15206
"432",1998,"RJ","PSN",17967
"433",1998,"RJ","PST",7983
"434",1998,"RJ","PSTU",85983
"435",1998,"RJ","PT",664886
"436",1998,"RJ","PT do B",159551
"437",1998,"RJ","PTB",237502
"438",1998,"RJ","PTN",26059
"439",1998,"RJ","PV",63890
"440",1998,"RN","PAN",2548
"441",1998,"RN","PC do B",7192
"442",1998,"RN","PCB",1107
"443",1998,"RN","PDT",9035
"444",1998,"RN","PFL",258148
"445",1998,"RN","PL",54816
"446",1998,"RN","PMDB",394163
"447",1998,"RN","PMN",7632
"448",1998,"RN","PPB",115844
"449",1998,"RN","PPS",12773
"450",1998,"RN","PRN",59
"451",1998,"RN","PRONA",3610
"452",1998,"RN","PRTB",2078
"453",1998,"RN","PSD",487
"454",1998,"RN","PSDB",72655
"455",1998,"RN","PSN",317
"456",1998,"RN","PSTU",1418
"457",1998,"RN","PT",95113
"458",1998,"RN","PT do B",427
"459",1998,"RO","PC do B",1458
"460",1998,"RO","PDT",60501
"461",1998,"RO","PFL",71202
"462",1998,"RO","PMDB",91760
"463",1998,"RO","PPB",31322
"464",1998,"RO","PRONA",687
"465",1998,"RO","PRP",379
"466",1998,"RO","PRTB",854
"467",1998,"RO","PSC",40865
"468",1998,"RO","PSD",1705
"469",1998,"RO","PSDB",85841
"470",1998,"RO","PST",128
"471",1998,"RO","PT",38259
"472",1998,"RO","PT do B",66
"473",1998,"RO","PTB",32263
"474",1998,"RO","PTN",137
"475",1998,"RO","PV",2346
"476",1998,"RR","PAN",56
"477",1998,"RR","PC do B",1380
"478",1998,"RR","PDT",2941
"479",1998,"RR","PFL",4918
"480",1998,"RR","PL",6844
"481",1998,"RR","PMDB",14632
"482",1998,"RR","PMN",22
"483",1998,"RR","PPB",53293
"484",1998,"RR","PPS",371
"485",1998,"RR","PRP",641
"486",1998,"RR","PSB",286
"487",1998,"RR","PSC",22
"488",1998,"RR","PSDB",22634
"489",1998,"RR","PT",2925
"490",1998,"RR","PTB",14696
"491",1998,"RR","PTN",623
"492",1998,"RS","PAN",422
"493",1998,"RS","PC do B",26754
"494",1998,"RS","PCB",1482
"495",1998,"RS","PDT",569912
"496",1998,"RS","PFL",113597
"497",1998,"RS","PL",19319
"498",1998,"RS","PMDB",1072006
"499",1998,"RS","PMN",1344
"500",1998,"RS","PPB",768006
"501",1998,"RS","PPS",7744
"502",1998,"RS","PRN",5808
"503",1998,"RS","PRONA",37670
"504",1998,"RS","PRP",3269
"505",1998,"RS","PRTB",1324
"506",1998,"RS","PSB",110427
"507",1998,"RS","PSC",3216
"508",1998,"RS","PSDB",342388
"509",1998,"RS","PSDC",616
"510",1998,"RS","PST",1222
"511",1998,"RS","PSTU",7071
"512",1998,"RS","PT",1225651
"513",1998,"RS","PTB",525205
"514",1998,"RS","PV",6677
"515",1998,"SC","PAN",439
"516",1998,"SC","PC do B",31023
"517",1998,"SC","PCB",954
"518",1998,"SC","PDT",181062
"519",1998,"SC","PFL",481974
"520",1998,"SC","PGT",193
"521",1998,"SC","PL",3466
"522",1998,"SC","PMDB",570516
"523",1998,"SC","PMN",606
"524",1998,"SC","PPB",521860
"525",1998,"SC","PPS",5524
"526",1998,"SC","PRN",944
"527",1998,"SC","PRONA",3909
"528",1998,"SC","PRTB",536
"529",1998,"SC","PSB",2527
"530",1998,"SC","PSC",1803
"531",1998,"SC","PSDB",203958
"532",1998,"SC","PSDC",151
"533",1998,"SC","PSL",1223
"534",1998,"SC","PSN",484
"535",1998,"SC","PST",272
"536",1998,"SC","PSTU",2793
"537",1998,"SC","PT",289488
"538",1998,"SC","PT do B",408
"539",1998,"SC","PTB",24629
"540",1998,"SC","PV",9373
"541",1998,"SE","PAN",2820
"542",1998,"SE","PC do B",3543
"543",1998,"SE","PCB",1349
"544",1998,"SE","PDT",9855
"545",1998,"SE","PFL",75816
"546",1998,"SE","PGT",202
"547",1998,"SE","PL",1913
"548",1998,"SE","PMDB",104097
"549",1998,"SE","PMN",48820
"550",1998,"SE","PPB",44238
"551",1998,"SE","PPS",54346
"552",1998,"SE","PRONA",2399
"553",1998,"SE","PRP",960
"554",1998,"SE","PSB",57910
"555",1998,"SE","PSC",8344
"556",1998,"SE","PSDB",95048
"557",1998,"SE","PSDC",40
"558",1998,"SE","PSN",1393
"559",1998,"SE","PST",508
"560",1998,"SE","PSTU",3272
"561",1998,"SE","PT",96032
"562",1998,"SE","PT do B",126
"563",1998,"SE","PTB",5329
"564",1998,"SE","PTN",1103
"565",1998,"SE","PV",278
"566",1998,"SP","PAN",23211
"567",1998,"SP","PC do B",116102
"568",1998,"SP","PCB",9795
"569",1998,"SP","PCO",3612
"570",1998,"SP","PDT",698583
"571",1998,"SP","PFL",1757373
"572",1998,"SP","PGT",23846
"573",1998,"SP","PL",394264
"574",1998,"SP","PMDB",1229592
"575",1998,"SP","PMN",31872
"576",1998,"SP","PPB",2458450
"577",1998,"SP","PPS",216787
"578",1998,"SP","PRN",12643
"579",1998,"SP","PRONA",263598
"580",1998,"SP","PRP",148649
"581",1998,"SP","PRTB",22517
"582",1998,"SP","PSB",524527
"583",1998,"SP","PSC",25823
"584",1998,"SP","PSD",118645
"585",1998,"SP","PSDB",3115365
"586",1998,"SP","PSDC",35569
