"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"101",1998,"DEPUTADO ESTADUAL","PMN","ES",1
"102",1998,"DEPUTADO ESTADUAL","PMN","MA",1
"103",1998,"DEPUTADO ESTADUAL","PMN","MG",3
"104",1998,"DEPUTADO ESTADUAL","PMN","SE",2
"105",1998,"DEPUTADO ESTADUAL","PPB","AC",5
"106",1998,"DEPUTADO ESTADUAL","PPB","AM",2
"107",1998,"DEPUTADO ESTADUAL","PPB","BA",6
"108",1998,"DEPUTADO ESTADUAL","PPB","CE",2
"109",1998,"DEPUTADO ESTADUAL","PPB","ES",1
"110",1998,"DEPUTADO ESTADUAL","PPB","GO",3
"111",1998,"DEPUTADO ESTADUAL","PPB","MA",4
"112",1998,"DEPUTADO ESTADUAL","PPB","MG",7
"113",1998,"DEPUTADO ESTADUAL","PPB","MT",1
"114",1998,"DEPUTADO ESTADUAL","PPB","PA",4
"115",1998,"DEPUTADO ESTADUAL","PPB","PB",1
"116",1998,"DEPUTADO ESTADUAL","PPB","PE",3
"117",1998,"DEPUTADO ESTADUAL","PPB","PI",3
"118",1998,"DEPUTADO ESTADUAL","PPB","PR",8
"119",1998,"DEPUTADO ESTADUAL","PPB","RJ",5
"120",1998,"DEPUTADO ESTADUAL","PPB","RN",3
"121",1998,"DEPUTADO ESTADUAL","PPB","RO",2
"122",1998,"DEPUTADO ESTADUAL","PPB","RR",5
"123",1998,"DEPUTADO ESTADUAL","PPB","RS",11
"124",1998,"DEPUTADO ESTADUAL","PPB","SC",10
"125",1998,"DEPUTADO ESTADUAL","PPB","SE",2
"126",1998,"DEPUTADO ESTADUAL","PPB","SP",11
"127",1998,"DEPUTADO ESTADUAL","PPB","TO",6
"128",1998,"DEPUTADO ESTADUAL","PPS","AM",1
"129",1998,"DEPUTADO ESTADUAL","PPS","CE",4
"130",1998,"DEPUTADO ESTADUAL","PPS","ES",4
"131",1998,"DEPUTADO ESTADUAL","PPS","MG",2
"132",1998,"DEPUTADO ESTADUAL","PPS","MS",2
"133",1998,"DEPUTADO ESTADUAL","PPS","MT",1
"134",1998,"DEPUTADO ESTADUAL","PPS","PA",1
"135",1998,"DEPUTADO ESTADUAL","PPS","RJ",1
"136",1998,"DEPUTADO ESTADUAL","PPS","SE",1
"137",1998,"DEPUTADO ESTADUAL","PPS","SP",3
"138",1998,"DEPUTADO ESTADUAL","PRONA","RJ",1
