"UF";"Cargo";"Votos válidos";"Vagas";"Quociente eleitoral (QE)";"Coligação";"Votos válidos coligação";"Vagas QP";"Eleitos por QP";"Eleitos por média"
"RO";"Deputado Estadual";"818401";"24";"34100";"PSDB / DEM / PSD";"93419";"2";"2";"1"
"RO";"Deputado Estadual";"818401";"24";"34100";"PODE";"82189";"2";"2";"1"
"RO";"Deputado Estadual";"818401";"24";"34100";"PSB";"60024";"1";"1";"1"
"RO";"Deputado Estadual";"818401";"24";"34100";"PMN / PSC / PC do B";"54745";"1";"1";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PTC / DC";"43518";"1";"1";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PHS / PROS";"40130";"1";"1";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PSL";"37531";"1";"1";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PT / PSOL";"31808";"0";"0";"1"
"RO";"Deputado Estadual";"818401";"24";"34100";"PDT";"29033";"0";"0";"1"
"RO";"Deputado Estadual";"818401";"24";"34100";"REDE / PPS / PRP";"23202";"0";"0";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PSTU";"354";"0";"0";"0"
"RO";"Deputado Estadual";"818401";"24";"34100";"PMB";"0";"0";"0";"0"
"RR";"Deputado Federal";"270708";"8";"33838";"MDB / PSD / SOLIDARIEDADE / DC";"59054";"1";"1";"1"
"RR";"Deputado Federal";"270708";"8";"33838";"PSL / PRB / PTC / PSC";"57505";"1";"1";"1"
"RR";"Deputado Federal";"270708";"8";"33838";"PPS / DEM / PSDB / PMB";"38094";"1";"1";"0"
"RR";"Deputado Federal";"270708";"8";"33838";"PTB / REDE / PV / PT";"26605";"0";"0";"1"
"RR";"Deputado Federal";"270708";"8";"33838";"PR / PRTB";"26148";"0";"0";"1"
"RR";"Deputado Federal";"270708";"8";"33838";"PP / PDT / PC do B";"21948";"0";"0";"1"
"RR";"Deputado Federal";"270708";"8";"33838";"PATRI / PPL / PROS";"19334";"0";"0";"0"
"RR";"Deputado Federal";"270708";"8";"33838";"PHS / PODE";"15521";"0";"0";"0"
"RR";"Deputado Federal";"270708";"8";"33838";"AVANTE / PRP / PSB";"5133";"0";"0";"0"
"RR";"Deputado Federal";"270708";"8";"33838";"PCB / PSOL / PSTU";"1366";"0";"0";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PRB / PSC";"29405";"2";"2";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"SOLIDARIEDADE / DC";"29274";"2";"2";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PTC";"22704";"2";"2";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PATRI / PPL / PROS";"19382";"1";"1";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PTB / REDE / PT";"19300";"1";"1";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PRTB / PR";"18286";"1";"1";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PDT / PP / PC do B";"18177";"1";"1";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"MDB";"18102";"1";"1";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PV";"16929";"1";"1";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PSL / PRP";"16086";"1";"1";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PMB";"14318";"1";"1";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PPS / DEM / PSDB";"13560";"1";"1";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"AVANTE / PSB";"11231";"1";"1";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PODE / PHS";"10764";"0";"0";"1"
"RR";"Deputado Estadual";"267491";"24";"11145";"PSD";"8021";"0";"0";"0"
"RR";"Deputado Estadual";"267491";"24";"11145";"PCB / PSOL / PSTU";"1952";"0";"0";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PSDB / PTB / PRB / REDE / PP";"1385041";"7";"7";"2"
"RS";"Deputado Federal";"5845077";"31";"188551";"PT";"793819";"4";"4";"1"
"RS";"Deputado Federal";"5845077";"31";"188551";"DEM / PROS / PSL";"692572";"3";"3";"1"
"RS";"Deputado Federal";"5845077";"31";"188551";"MDB";"674805";"3";"3";"1"
"RS";"Deputado Federal";"5845077";"31";"188551";"PSB / PR / PATRI";"587832";"3";"3";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PDT / PMB / PV";"517020";"2";"2";"1"
"RS";"Deputado Federal";"5845077";"31";"188551";"NOVO";"437390";"2";"1";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PSD / PSC / PMN / PRP / PTC";"224925";"1";"1";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PSOL / PCB";"185961";"0";"0";"1"
"RS";"Deputado Federal";"5845077";"31";"188551";"PPS / PHS";"129900";"0";"0";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"SOLIDARIEDADE / AVANTE / PPL / PODE";"128669";"0";"0";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PC do B";"81615";"0";"0";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"DC";"2813";"0";"0";"0"
"RS";"Deputado Federal";"5845077";"31";"188551";"PSTU";"2715";"0";"0";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PP / PTB";"1033343";"9";"9";"2"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PT";"816675";"7";"7";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"MDB";"764384";"7";"7";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"DEM / PSL";"590096";"5";"5";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSDB / PPS / PHS / REDE";"486190";"4";"4";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PDT / PMB";"429409";"4";"4";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSD / PATRI / PR";"308157";"2";"2";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSB";"301390";"2";"2";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PRB";"196811";"1";"1";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"NOVO";"190078";"1";"1";"1"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSOL / PCB";"183307";"1";"1";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"SOLIDARIEDADE";"136259";"1";"1";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PV / PPL / AVANTE / PODE";"132658";"1";"1";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PC do B";"88581";"0";"0";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSC / PMN / PTC / PRP";"75801";"0";"0";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PROS";"45752";"0";"0";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"DC";"6247";"0";"0";"0"
"RS";"Deputado Estadual";"5788702";"55";"105249";"PSTU";"3564";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PSL";"769926";"3";"3";"1"
"SC";"Deputado Federal";"3548458";"16";"221779";"MDB / PR";"623335";"2";"2";"1"
"SC";"Deputado Federal";"3548458";"16";"221779";"PSD / PP / PV";"520750";"2";"2";"1"
"SC";"Deputado Federal";"3548458";"16";"221779";"PRB / PDT / PSC / DEM / PSB / PC do B / SOLIDARIEDADE";"509061";"2";"2";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PSDB / PPS / PTB / DC";"410352";"1";"1";"1"
"SC";"Deputado Federal";"3548458";"16";"221779";"PT";"347166";"1";"1";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"NOVO";"187440";"0";"0";"1"
"SC";"Deputado Federal";"3548458";"16";"221779";"PSOL / PCB";"71071";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PODE / PRP / PPL / PHS / PROS";"57738";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PMN / PATRI";"25083";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"REDE";"9956";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PTC";"7690";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"AVANTE / PRTB";"5947";"0";"0";"0"
"SC";"Deputado Federal";"3548458";"16";"221779";"PSTU";"2943";"0";"0";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"MDB / PSDB";"904909";"9";"9";"2"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PSD / PP / PSC";"775098";"8";"8";"1"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PSL";"553121";"6";"6";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PSB / PRB / SOLIDARIEDADE";"401402";"4";"4";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PT";"326608";"3";"3";"1"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PTB / PTC / PRTB / DC / AVANTE / PR / PPS";"258888";"2";"2";"1"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PC do B / PDT / PHS / PODE";"213845";"2";"2";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"DEM / PROS / PPL / PRP / PV";"108713";"1";"1";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PSOL / PCB";"69214";"0";"0";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PMN / PATRI";"30968";"0";"0";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"REDE";"18279";"0";"0";"0"
"SC";"Deputado Estadual";"3663271";"40";"91582";"PSTU";"2226";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"PP / MDB / DC / PC do B / PSD / PT / PHS";"417308";"3";"3";"1"
"SE";"Deputado Federal";"998669";"8";"124834";"PRB / PPS / PSC / PR / PTC / PSDB / SOLIDARIEDADE";"290253";"2";"2";"1"
"SE";"Deputado Federal";"998669";"8";"124834";"PSB / PDT / PPL / PTB / PROS / PRP";"108195";"0";"0";"1"
"SE";"Deputado Federal";"998669";"8";"124834";"PODE / AVANTE / PMN / PATRI";"78713";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"REDE";"37721";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"PSOL";"20378";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"PSL";"19369";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"DEM / PRTB / PV";"18504";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"NOVO";"6432";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"PSTU";"1252";"0";"0";"0"
"SE";"Deputado Federal";"998669";"8";"124834";"PCB";"544";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PP / MDB / DC / PC do B / PSD / PT / PHS";"356844";"7";"7";"2"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PSDB / PRB / PSC / PR";"287687";"6";"6";"1"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PODE / AVANTE / PMN / PATRI";"98636";"2";"2";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PPS / PTC / SOLIDARIEDADE";"80105";"1";"1";"1"
"SE";"Deputado Estadual";"1086792";"24";"45283";"REDE";"79571";"1";"1";"1"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PSB / PDT / PROS / PPL";"70022";"1";"1";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PTB / PRP";"62567";"1";"1";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PSL";"19047";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"DEM / PRTB / PV";"17451";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PSOL";"13740";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PSTU";"890";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PMB";"232";"0";"0";"0"
"SE";"Deputado Estadual";"1086792";"24";"45283";"PCB";"0";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PSL";"4409549";"14";"10";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PSDB / PSD / DEM / PP";"4137965";"13";"13";"4"
"SP";"Deputado Federal";"21104181";"70";"301488";"PT / PC do B";"2156813";"7";"7";"2"
"SP";"Deputado Federal";"21104181";"70";"301488";"PSB / PSC / PPS / PTB";"1746226";"5";"5";"2"
"SP";"Deputado Federal";"21104181";"70";"301488";"PR";"1734561";"5";"5";"2"
"SP";"Deputado Federal";"21104181";"70";"301488";"PRB";"1591587";"5";"5";"1"
"SP";"Deputado Federal";"21104181";"70";"301488";"PSOL / PCB";"922692";"3";"3";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"NOVO";"899904";"2";"2";"1"
"SP";"Deputado Federal";"21104181";"70";"301488";"PMB / PHS / PODE";"754593";"2";"2";"1"
"SP";"Deputado Federal";"21104181";"70";"301488";"MDB";"527821";"1";"1";"1"
"SP";"Deputado Federal";"21104181";"70";"301488";"PDT";"451442";"1";"1";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PV";"414051";"1";"1";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"SOLIDARIEDADE";"255231";"0";"0";"1"
"SP";"Deputado Federal";"21104181";"70";"301488";"PATRI";"229241";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PMN / REDE";"224630";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PROS";"201879";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"AVANTE";"141467";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PRP";"131974";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PRTB";"77350";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PPL";"50027";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"DC";"19307";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PTC";"14189";"0";"0";"0"
"SP";"Deputado Federal";"21104181";"70";"301488";"PSTU";"11682";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PSDB / PSD / DEM / PP / PRB";"5390516";"24";"24";"3"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PSL";"4025339";"18";"15";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PSB / PSC / PPS / PTB / PV";"2565540";"11";"11";"2"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PT";"1940265";"8";"8";"2"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PR";"1196787";"5";"5";"1"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PSOL / PCB";"914228";"4";"4";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"NOVO";"891319";"4";"4";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PODE";"874310";"3";"3";"1"
"SP";"Deputado Estadual";"20851096";"94";"221820";"MDB";"598084";"2";"2";"1"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PMB / PHS";"348153";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PATRI";"313957";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PROS";"309886";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PDT";"300680";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PC do B";"246100";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"SOLIDARIEDADE";"232081";"1";"1";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"AVANTE";"210034";"0";"0";"1"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PMN / REDE";"195693";"0";"0";"1"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PRP";"155358";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PRTB";"52706";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PPL";"30826";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PTC";"24566";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"DC";"18119";"0";"0";"0"
"SP";"Deputado Estadual";"20851096";"94";"221820";"PSTU";"16549";"0";"0";"0"
"TO";"Deputado Federal";"715942";"8";"89493";"PHS / AVANTE / PROS / DEM / PTC / PP / SOLIDARIEDADE / PATRI / PRB";"332189";"3";"3";"1"
"TO";"Deputado Federal";"715942";"8";"89493";"PSB / PSDB / PR / PODE / MDB / PSC";"227826";"2";"2";"1"
"TO";"Deputado Federal";"715942";"8";"89493";"PT / PC do B / PV / PSD / REDE";"77233";"0";"0";"1"
"TO";"Deputado Federal";"715942";"8";"89493";"PSL / PMB / PRP / PMN";"38333";"0";"0";"0"
"TO";"Deputado Federal";"715942";"8";"89493";"PRTB / PDT / PTB";"26927";"0";"0";"0"
"TO";"Deputado Federal";"715942";"8";"89493";"PPS / PPL / DC";"9723";"0";"0";"0"
"TO";"Deputado Federal";"715942";"8";"89493";"PSOL";"3711";"0";"0";"0"
"TO";"Deputado Estadual";"746638";"24";"31110";"PSB / PSDB / PR / PODE / MDB / PSC";"267530";"8";"8";"1"
"TO";"Deputado Estadual";"746638";"24";"31110";"PHS / PROS / PP / DEM / AVANTE / PATRI / SOLIDARIEDADE / PRB / PTC";"236153";"7";"7";"1"
"TO";"Deputado Estadual";"746638";"24";"31110";"PT / PC do B";"62117";"1";"1";"1"
"TO";"Deputado Estadual";"746638";"24";"31110";"PPS / PPL / DC";"59532";"1";"1";"1"
"TO";"Deputado Estadual";"746638";"24";"31110";"REDE / PDT / PSD / PV / PTB";"58637";"1";"1";"1"
"TO";"Deputado Estadual";"746638";"24";"31110";"PSL / PMB / PRP / PMN";"41140";"1";"1";"0"
"TO";"Deputado Estadual";"746638";"24";"31110";"PRTB";"20269";"0";"0";"0"
"TO";"Deputado Estadual";"746638";"24";"31110";"PSOL";"1260";"0";"0";"0"
