"","Ano da eleição","UF","Turno","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"70",1998,"AM",1,"Deputado Federal","398.436","60.153","54.110","1.368.084","512.699",37.48
"71",1998,"AP",1,"Deputado Federal","28.941","3.102","3.844","213.289","35.887",16.83
"72",1998,"BA",1,"Deputado Federal","2.525.734","616.324","636.299","7.932.156","3.778.357",47.63
"73",1998,"CE",1,"Deputado Federal","1.1.036","335.883","303.956","4.301.105","1.640.875",38.15
"74",1998,"DF",1,"Deputado Federal","196.417","41.447","30.325","1.267.925","268.189",21.15
"75",1998,"ES",1,"Deputado Federal","418.119","165.690","122.157","1.916.884","705.966",36.83
"76",1998,"GO",1,"Deputado Federal","607.001","250.301","237.060","2.948.532","1.94.362",37.12
"77",1998,"MA",1,"Deputado Federal","927.211","289.085","217.899","2.986.755","1.434.195",48.02
"78",1998,"MG",1,"Deputado Federal","2.349.190","1.186.031","1.56.802","11.814.791","4.592.023",38.87
"79",1998,"MS",1,"Deputado Federal","259.790","98.828","100.418","1.256.907","459.036",36.52
"80",1998,"MT",1,"Deputado Federal","439.757","121.322","134.178","1.516.451","695.257",45.85
"81",1998,"PA",1,"Deputado Federal","1.71.362","230.197","194.589","3.218.566","1.496.148",46.48
"82",1998,"PB",1,"Deputado Federal","547.654","226.939","260.023","2.223.259","1.34.616",46.54
"83",1998,"PE",1,"Deputado Federal","1.309.006","512.703","405.625","5.117.448","2.227.334",43.52
"84",1998,"PI",1,"Deputado Federal","434.557","183.668","174.872","1.781.150","793.097",44.53
"85",1998,"PR",1,"Deputado Federal","1.348.511","477.238","581.296","6.384.210","2.407.045",37.7
"86",1998,"RJ",1,"Deputado Federal","849.688","183.202","186.086","4.328.100","1.218.976",28.16
"87",1998,"RN",1,"Deputado Federal","329.355","185.306","175.185","1.728.975","689.846",39.9
"88",1998,"RO",1,"Deputado Federal","250.775","60.606","65.250","836.179","376.631",45.04
"89",1998,"RR",1,"Deputado Federal","36.897","3.354","4.085","170.620","44.336",25.99
"90",1998,"RS",1,"Deputado Federal","1.23.119","561.884","410.343","6.846.077","1.995.346",29.15
"91",1998,"SC",1,"Deputado Federal","573.108","297.582","306.345","3.516.811","1.177.035",33.47
"92",1998,"SE",1,"Deputado Federal","234.205","122.480","105.102","1.81.138","461.787",42.71
"93",1998,"SP",1,"Deputado Federal","3.850.137","1.937.367","1.918.500","23.318.077","7.706.004",33.05
"94",1998,"TO",1,"Deputado Federal","125.178","46.891","39.035","624.056","211.104",33.83
"95",1998,"AC",1,"Deputado Estadual","79.357","8.560","11.311","318.955","99.228",31.11
"96",1998,"AL",1,"Deputado Estadual","390.465","64.016","63.457","1.383.600","517.938",37.43
"97",1998,"AM",1,"Deputado Estadual","398.436","50.646","46.257","1.368.084","495.339",36.21
"98",1998,"AP",1,"Deputado Estadual","28.941","2.441","3.776","213.289","35.158",16.48
"99",1998,"BA",1,"Deputado Estadual","2.525.734","580.349","641.511","7.932.156","3.747.594",47.25
"100",1998,"CE",1,"Deputado Estadual","1.1.036","279.486","290.677","4.301.105","1.571.199",36.53
"101",1998,"DF",1,"Deputado Estadual","196.417","35.007","26.335","1.267.925","257.759",20.33
"102",1998,"ES",1,"Deputado Estadual","418.119","113.642","100.591","1.916.884","632.352",32.99
"103",1998,"GO",1,"Deputado Estadual","607.001","182.330","193.868","2.948.532","983.199",33.35
"104",1998,"MA",1,"Deputado Estadual","927.211","151.803","171.378","2.986.755","1.250.392",41.86
"105",1998,"MG",1,"Deputado Estadual","2.349.190","1.54.392","990.570","11.814.791","4.394.152",37.19
"106",1998,"MS",1,"Deputado Estadual","259.790","69.553","85.184","1.256.907","414.527",32.98
"107",1998,"MT",1,"Deputado Estadual","439.757","79.364","109.952","1.516.451","629.073",41.48
"108",1998,"PA",1,"Deputado Estadual","1.71.362","158.437","150.788","3.218.566","1.380.587",42.89
"109",1998,"PB",1,"Deputado Estadual","547.654","164.483","227.070","2.223.259","939.207",42.24
"110",1998,"PE",1,"Deputado Estadual","1.309.006","456.514","379.454","5.117.448","2.144.974",41.91
"111",1998,"PI",1,"Deputado Estadual","434.557","121.994","136.995","1.781.150","693.546",38.94
"112",1998,"PR",1,"Deputado Estadual","1.348.511","404.670","517.892","6.384.210","2.271.073",35.57
"113",1998,"RJ",1,"Deputado Estadual","849.657","176.061","175.271","4.327.550","1.200.989",27.75
"114",1998,"RN",1,"Deputado Estadual","329.355","128.387","148.579","1.728.975","606.321",35.07
"115",1998,"RO",1,"Deputado Estadual","250.775","34.464","43.489","836.179","328.728",39.31
"116",1998,"RR",1,"Deputado Estadual","36.897","2.420","2.524","170.620","41.841",24.52
"117",1998,"RS",1,"Deputado Estadual","1.23.119","434.397","366.692","6.846.077","1.824.208",26.65
"118",1998,"SC",1,"Deputado Estadual","573.108","189.557","259.294","3.516.811","1.21.959",29.06
"119",1998,"SE",1,"Deputado Estadual","234.205","67.186","88.150","1.81.138","389.541",36.03
"120",1998,"SP",1,"Deputado Estadual","3.850.137","1.875.077","1.839.797","23.318.077","7.565.011",32.44
"121",1998,"TO",1,"Deputado Estadual","125.178","32.600","36.003","624.056","193.781",31.05
"122",2002,"AC",1,"Presidente","79.355","3.968","21.574","369.786","104.897",28.37
"123",2002,"AC",2,"Presidente","125.550","2.523","7.547","369.786","135.620",36.68
"124",2002,"AL",1,"Presidente","338.344","47.296","136.620","1.598.446","522.260",32.67
"125",2002,"AL",2,"Presidente","438.218","20.244","47.719","1.600.092","506.181",31.63
"126",2002,"AM",1,"Presidente","331.917","16.124","64.072","1.523.155","412.113",27.06
"127",2002,"AM",2,"Presidente","453.174","12.330","25.645","1.524.358","491.149",32.22
"128",2002,"AP",1,"Presidente","42.259","2.017","12.552","290.101","56.828",19.59
"129",2002,"AP",2,"Presidente","52.281","2.067","8.180","290.101","62.528",21.55
"130",2002,"BA",1,"Presidente","2.168.016","216.749","937.516","8.567.328","3.322.281",38.78
"131",2002,"BA",2,"Presidente","2.526.746","94.161","299.015","8.568.602","2.919.922",34.08
"132",2002,"CE",1,"Presidente","945.124","102.111","319.650","4.805.259","1.366.885",28.45
"133",2002,"CE",2,"Presidente","1.106.026","75.630","144.851","4.805.259","1.326.507",27.61
"134",2002,"DF",1,"Presidente","233.634","17.517","55.513","1.516.598","306.664",20.22
"135",2002,"DF",2,"Presidente","207.722","18.826","42.696","1.518.437","269.244",17.73
"136",2002,"ES",1,"Presidente","378.376","50.398","105.655","2.146.425","534.429",24.9
"137",2002,"ES",2,"Presidente","475.336","33.220","47.203","2.146.425","555.759",25.89
"138",2002,"GO",1,"Presidente","573.047","62.565","189.953","3.365.848","825.565",24.53
"139",2002,"GO",2,"Presidente","746.746","40.298","83.498","3.365.848","870.542",25.86
"140",2002,"MA",1,"Presidente","812.044","89.385","423.941","3.388.659","1.325.370",39.11
"141",2002,"MA",2,"Presidente","1.162.341","36.102","90.307","3.391.447","1.288.750",38
"142",2002,"MG",1,"Presidente","2.166.461","369.632","731.126","12.680.350","3.267.219",25.77
"143",2002,"MG",2,"Presidente","2.474.828","197.540","399.394","12.680.412","3.71.762",24.22
"144",2002,"MS",1,"Presidente","254.257","23.218","58.190","1.411.773","335.665",23.78
"145",2002,"MS",2,"Presidente","292.628","14.344","27.666","1.411.773","334.638",23.7
"146",2002,"MT",1,"Presidente","383.036","28.841","64.988","1.728.703","476.865",27.59
"147",2002,"MT",2,"Presidente","492.570","15.371","29.836","1.728.703","537.777",31.11
"148",2002,"PA",1,"Presidente","792.300","53.119","191.319","3.569.096","1.36.738",29.05
"149",2002,"PA",2,"Presidente","980.481","24.766","61.990","3.569.333","1.67.237",29.9
"150",2002,"PB",1,"Presidente","416.560","83.551","242.757","2.322.068","742.868",31.99
"151",2002,"PB",2,"Presidente","427.754","38.138","128.746","2.322.068","594.638",25.61
"152",2002,"PE",1,"Presidente","1.150.439","222.637","454.269","5.396.667","1.827.345",33.86
"153",2002,"PE",2,"Presidente","1.300.819","91.291","151.752","5.396.667","1.543.862",28.61
"154",2002,"PI",1,"Presidente","291.650","40.385","200.972","1.848.292","533.007",28.84
"155",2002,"PI",2,"Presidente","406.397","17.814","65.221","1.848.292","489.432",26.48
"156",2002,"PR",1,"Presidente","1.77.980","156.028","361.962","6.663.199","1.595.970",23.95
"157",2002,"PR",2,"Presidente","1.234.903","111.205","370.524","6.663.257","1.716.632",25.76
"158",2002,"RJ",1,"Presidente","1.499.485","160.845","375.450","10.211.785","2.35.780",19.94
"159",2002,"RJ",2,"Presidente","1.730.985","158.230","323.727","10.213.518","2.212.942",21.67
"160",2002,"RN",1,"Presidente","337.515","59.322","189.135","1.917.382","585.972",30.56
"161",2002,"RN",2,"Presidente","396.783","37.591","149.433","1.917.382","583.807",30.45
"162",2002,"RO",1,"Presidente","189.089","14.473","50.012","882.545","253.574",28.73
"163",2002,"RO",2,"Presidente","241.102","10.830","29.029","882.545","280.961",31.84
"164",2002,"RR",1,"Presidente","33.313","1.944","13.250","208.524","48.507",23.26
"165",2002,"RR",2,"Presidente","37.758","2.564","9.423","208.524","49.745",23.86
"166",2002,"RS",1,"Presidente","955.150","204.935","288.294","7.352.139","1.448.379",19.7
"167",2002,"RS",2,"Presidente","1.73.931","137.931","234.814","7.352.139","1.446.676",19.68
"168",2002,"SC",1,"Presidente","516.405","80.032","183.080","3.817.974","779.517",20.42
"169",2002,"SC",2,"Presidente","579.033","59.175","194.580","3.817.974","832.788",21.81
"170",2002,"SE",1,"Presidente","198.744","37.003","104.555","1.147.933","340.302",29.64
"171",2002,"SE",2,"Presidente","202.673","20.240","71.108","1.147.933","294.021",25.61
"172",2002,"SP",1,"Presidente","4.86.491","717.220","1.98.264","25.651.378","5.901.975",23.01
"173",2002,"SP",2,"Presidente","4.162.264","448.562","707.258","25.655.553","5.318.084",20.73
"174",2002,"TO",1,"Presidente","161.818","11.637","89.275","785.397","262.730",33.45
"175",2002,"TO",2,"Presidente","225.570","5.999","20.074","785.397","251.643",32.04
"176",2002,"AC",1,"Governador","79.355","3.384","26.628","369.786","109.367",29.58
"177",2002,"AL",1,"Governador","338.344","45.932","169.331","1.598.446","553.607",34.63
"178",2002,"AM",1,"Governador","331.917","15.857","90.669","1.523.155","438.443",28.79
"179",2002,"AP",1,"Governador","42.259","2.214","11.592","290.101","56.065",19.33
"180",2002,"AP",2,"Governador","52.281","1.376","5.852","290.101","59.509",20.51
"181",2002,"BA",1,"Governador","2.168.016","311.961","740.409","8.567.328","3.220.386",37.59
"182",2002,"CE",1,"Governador","945.124","165.593","428.579","4.805.259","1.539.296",32.03
"183",2002,"CE",2,"Governador","1.106.026","46.880","123.948","4.805.259","1.276.854",26.57
"184",2002,"DF",1,"Governador","233.634","22.473","46.523","1.516.598","302.630",19.95
"185",2002,"DF",2,"Governador","207.722","12.353","29.628","1.518.437","249.703",16.44
"186",2002,"ES",1,"Governador","378.376","78.873","167.925","2.146.425","625.174",29.13
"187",2002,"GO",1,"Governador","573.047","69.332","181.617","3.365.848","823.996",24.48
"188",2002,"MA",1,"Governador","812.044","102.178","207.547","3.388.659","1.121.769",33.1
"189",2002,"MG",1,"Governador","2.166.461","546.052","794.569","12.680.350","3.507.082",27.66
"190",2002,"MS",1,"Governador","254.257","28.186","74.412","1.411.773","356.855",25.28
"191",2002,"MS",2,"Governador","292.628","10.214","26.844","1.411.773","329.686",23.35
"192",2002,"MT",1,"Governador","383.036","38.632","85.369","1.728.703","507.037",29.33
"193",2002,"PA",1,"Governador","792.300","66.575","201.033","3.569.096","1.59.908",29.7
"194",2002,"PA",2,"Governador","980.481","23.930","68.611","3.569.333","1.73.022",30.06
"195",2002,"PB",1,"Governador","416.560","98.779","197.904","2.322.068","713.243",30.72
"196",2002,"PB",2,"Governador","427.754","30.474","130.791","2.322.068","589.019",25.37
"197",2002,"PE",1,"Governador","1.150.439","316.315","513.263","5.396.667","1.980.017",36.69
"198",2002,"PI",1,"Governador","291.650","40.827","165.080","1.848.292","497.557",26.92
"199",2002,"PR",1,"Governador","1.77.980","219.555","219.048","6.663.199","1.516.583",22.76
"200",2002,"PR",2,"Governador","1.234.903","133.032","432.589","6.663.257","1.800.524",27.02
"201",2002,"RJ",1,"Governador","1.499.485","218.490","499.356","10.211.785","2.217.331",21.71
"202",2002,"RN",1,"Governador","337.515","65.661","191.772","1.917.382","594.948",31.03
"203",2002,"RN",2,"Governador","396.783","30.131","146.313","1.917.382","573.227",29.9
"204",2002,"RO",1,"Governador","189.089","16.697","55.260","882.545","261.046",29.58
"205",2002,"RO",2,"Governador","241.102","10.500","41.656","882.545","293.258",33.23
"206",2002,"RR",1,"Governador","33.313","1.723","18.446","208.524","53.482",25.65
"207",2002,"RR",2,"Governador","37.758","0.849","7.206","208.524","45.813",21.97
"208",2002,"RS",1,"Governador","955.150","240.865","260.680","7.352.139","1.456.695",19.81
"209",2002,"RS",2,"Governador","1.73.931","105.764","194.129","7.352.139","1.373.824",18.69
"210",2002,"SC",1,"Governador","516.405","101.981","146.034","3.817.974","764.420",20.02
"211",2002,"SC",2,"Governador","579.033","45.100","189.671","3.817.974","813.804",21.32
"212",2002,"SE",1,"Governador","198.744","39.488","122.882","1.147.933","361.114",31.46
"213",2002,"SE",2,"Governador","202.673","15.273","54.552","1.147.933","272.498",23.74
"214",2002,"SP",1,"Governador","4.86.491","892.383","1.65.805","25.651.378","6.44.679",23.56
"215",2002,"SP",2,"Governador","4.162.264","366.408","647.199","25.655.553","5.175.871",20.17
"216",2002,"TO",1,"Governador","161.818","15.234","58.333","785.397","235.385",29.97
"217",2002,"AC",1,"Senador","79.355","16.929","75.948","369.786","172.232",46.58
"218",2002,"AL",1,"Senador","338.344","187.312","404.539","1.598.446","930.195",58.19
"219",2002,"AM",1,"Senador","331.917","69.308","243.563","1.523.155","644.788",42.33
"220",2002,"AP",1,"Senador","42.259","11.148","46.507","290.101","99.914",34.44
"221",2002,"BA",1,"Senador","2.168.016","851.621","2.155.298","8.567.328","5.174.935",60.4
"222",2002,"CE",1,"Senador","945.124","480.058","1.161.944","4.805.259","2.587.126",53.84
"223",2002,"DF",1,"Senador","233.634","101.932","192.456","1.516.598","528.022",34.82
"224",2002,"ES",1,"Senador","378.376","223.588","366.978","2.146.425","968.942",45.14
"225",2002,"GO",1,"Senador","573.047","334.752","616.151","3.365.848","1.523.950",45.28
"226",2002,"MA",1,"Senador","812.044","294.301","791.231","3.388.659","1.897.576",56
